[2013-11-16 14:54:02] davidlai, quitting. (Quit: Leaving.)
[2013-11-16 15:00:09] mboman|AFK, joining. (#selenium)
[2013-11-16 15:04:09] davidlai, joining. (#selenium)
[2013-11-16 15:08:53] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 15:13:26] mboman|AFK, joining. (#selenium)
[2013-11-16 15:43:43] mboman|AFK, quitting. (Ping timeout: 260 seconds)
[2013-11-16 15:43:52] mfeltner, quitting. (Remote host closed the connection)
[2013-11-16 15:46:47] mfeltner, joining. (#selenium)
[2013-11-16 15:57:50] mfeltner, quitting. (Ping timeout: 240 seconds)
[2013-11-16 15:59:50] mboman|AFK, joining. (#selenium)
[2013-11-16 15:59:58] mfeltner, joining. (#selenium)
[2013-11-16 16:02:11] markboxall, joining. (#selenium)
[2013-11-16 16:02:37] davidlai, quitting. (Quit: Leaving.)
[2013-11-16 16:03:13] admc, joining. (#selenium)
[2013-11-16 16:05:21] mboman|AFK, quitting. (Ping timeout: 268 seconds)
[2013-11-16 16:06:48] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 16:07:11] mboman|AFK, joining. (#selenium)
[2013-11-16 16:10:42] DrJenkins, joining. (#selenium)
[2013-11-16 16:14:46] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-11-16 16:22:19] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 16:26:02] mboman|AFK, joining. (#selenium)
[2013-11-16 16:43:19] DrJenkins, joining. (#selenium)
[2013-11-16 16:48:03] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 16:48:17] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-11-16 16:54:34] admc, quitting. (Quit: Leaving.)
[2013-11-16 16:59:25] mboman|AFK, joining. (#selenium)
[2013-11-16 17:00:37] stephend, joining. (#selenium)
[2013-11-16 17:02:36] p_l, quitting. (Ping timeout: 260 seconds)
[2013-11-16 17:04:44] albioner, joining. (#selenium)
[2013-11-16 17:05:06] stephend, quitting. (Ping timeout: 252 seconds)
[2013-11-16 17:05:30] admc, joining. (#selenium)
[2013-11-16 17:06:12] mboman|AFK, quitting. (Ping timeout: 252 seconds)
[2013-11-16 17:06:40] jleyba, joining. (#selenium)
[2013-11-16 17:11:24] jleyba, quitting. (Client Quit)
[2013-11-16 17:14:36] mboman|AFK, joining. (#selenium)
[2013-11-16 17:20:25] mboman|AFK, quitting. (Ping timeout: 252 seconds)
[2013-11-16 17:29:48] mboman|AFK, joining. (#selenium)
[2013-11-16 17:33:20] noahsussman, joining. (#selenium)
[2013-11-16 17:33:37] jab416171, quitting. (Ping timeout: 252 seconds)
[2013-11-16 17:36:08] jab416171, joining. (#selenium)
[2013-11-16 17:47:49] mboman|AFK, quitting. (Ping timeout: 248 seconds)
[2013-11-16 17:50:24] noahsussman, quitting. (Remote host closed the connection)
[2013-11-16 17:51:04] markboxall, joining. (#selenium)
[2013-11-16 17:55:42] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 17:56:19] mboman|AFK, joining. (#selenium)
[2013-11-16 18:01:51] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 18:12:55] mboman|AFK, joining. (#selenium)
[2013-11-16 18:25:11] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 18:27:10] DrJenkins, joining. (#selenium)
[2013-11-16 18:27:46] mboman|AFK, joining. (#selenium)
[2013-11-16 18:31:33] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-11-16 18:42:40] mfeltner, quitting. (Remote host closed the connection)
