[2013-11-24 11:05:30] noahsussman, joining. (#selenium)
[2013-11-24 11:09:35] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-24 11:09:53] mboman|AFK, joining. (#selenium)
[2013-11-24 11:11:31] dimacus, quitting. (Quit: Leaving.)
[2013-11-24 11:41:41] dimacus, joining. (#selenium)
[2013-11-24 11:51:14] dimacus, quitting. (Ping timeout: 272 seconds)
[2013-11-24 11:55:30] noahsussman, quitting. (Remote host closed the connection)
[2013-11-24 11:59:00] mboman|AFK, quitting. (Ping timeout: 265 seconds)
[2013-11-24 12:00:24] mboman|AFK, joining. (#selenium)
[2013-11-24 12:03:06] ruffin, joining. (#selenium)
[2013-11-24 12:03:36] 17WAAF2IK, joining. (#selenium)
[2013-11-24 12:05:11] ruffin, quitting. (Client Quit)
[2013-11-24 12:08:46] markboxall, joining. (#selenium)
[2013-11-24 12:10:06] chp: anyone here from NL ?
[2013-11-24 12:13:21] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 12:17:41] AdamDangoor, joining. (#selenium)
[2013-11-24 12:19:36] mboman|AFK, quitting. (Ping timeout: 246 seconds)
[2013-11-24 12:19:54] mboman|AFK, joining. (#selenium)
[2013-11-24 12:23:41] gittish, quitting. (Quit: gittish)
[2013-11-24 12:29:52] AdamDangoor, quitting. (Quit: Leaving...)
[2013-11-24 12:31:29] 17WAAF2IK, quitting. (Remote host closed the connection)
[2013-11-24 12:32:31] mboman|AFK, quitting. (Ping timeout: 252 seconds)
[2013-11-24 12:32:48] mboman|AFK, joining. (#selenium)
[2013-11-24 12:35:11] AdamDangoor, joining. (#selenium)
[2013-11-24 12:37:27] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-24 12:38:54] mboman|AFK, joining. (#selenium)
[2013-11-24 12:41:14] AdamDangoor, quitting. (Quit: Leaving...)
[2013-11-24 12:44:52] dimacus, joining. (#selenium)
[2013-11-24 12:53:45] dimacus, quitting. (Ping timeout: 245 seconds)
[2013-11-24 12:55:08] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-24 12:55:26] noahsussman, joining. (#selenium)
[2013-11-24 12:55:28] mboman|AFK, joining. (#selenium)
[2013-11-24 12:57:47] noahsussman, quitting. (Remote host closed the connection)
[2013-11-24 13:05:39] gittish, joining. (#selenium)
[2013-11-24 13:15:48] jimpurbrick, quitting. (Quit: Leaving.)
[2013-11-24 13:19:35] TheWaffleGuy, quitting. (Ping timeout: 245 seconds)
[2013-11-24 13:23:33] alabaster, quitting. (Remote host closed the connection)
[2013-11-24 13:31:25] noahsussman, joining. (#selenium)
[2013-11-24 13:39:49] noahsussman, quitting. (Ping timeout: 248 seconds)
[2013-11-24 13:45:56] jimpurbrick, joining. (#selenium)
[2013-11-24 13:47:00] PaulB010101, joining. (#selenium)
[2013-11-24 13:55:37] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2013-11-24 13:57:39] markboxall, joining. (#selenium)
