[2013-11-09 04:01:48] jimpurbrick, quitting. (Client Quit)
[2013-11-09 05:02:31] lord1234, joining. (#selenium)
[2013-11-09 05:06:22] markboxall, joining. (#selenium)
[2013-11-09 05:10:48] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-09 05:14:39] p_l, quitting. (Ping timeout: 272 seconds)
[2013-11-09 05:20:26] lord1234, quitting. (Changing host)
[2013-11-09 05:20:26] lord1234, joining. (#selenium)
[2013-11-09 06:00:10] lord1234, quitting. (Quit: Leaving.)
[2013-11-09 06:02:31] Selenium-Git, joining. (#selenium)
[2013-11-09 06:02:31] Selenium-Git: [13selenium] 15j1z0 opened pull request #134: Fix for Iissue 6026 - All Webdriver implementations should provide standard creation functions (06master...06py_desired_caps)  02http://git.io/rUBEQw
[2013-11-09 06:02:31] Selenium-Git, leaving. (#selenium)
[2013-11-09 06:03:21] richdownie, joining. (#selenium)
[2013-11-09 06:18:09] mreedell-work, joining. (#selenium)
[2013-11-09 06:19:10] richdownie, quitting. (Quit: richdownie)
[2013-11-09 06:25:29] paulschreiber, joining. (#selenium)
[2013-11-09 06:29:30] p_l, joining. (#selenium)
[2013-11-09 06:34:46] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-11-09 06:37:17] miebster_atwork_, joining. (#selenium)
[2013-11-09 06:41:41] miebster_atwork, quitting. (Ping timeout: 272 seconds)
[2013-11-09 06:48:06] hum_ph, quitting. (Remote host closed the connection)
[2013-11-09 06:48:44] hum_ph, joining. (#selenium)
[2013-11-09 06:53:25] hum_ph, quitting. (Ping timeout: 248 seconds)
[2013-11-09 06:55:17] markboxall, joining. (#selenium)
[2013-11-09 06:55:34] jimpurbrick, joining. (#selenium)
[2013-11-09 06:59:42] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-09 07:16:17] lord1234, joining. (#selenium)
[2013-11-09 07:17:03] paulschreiber, quitting. (Quit: Leaving.)
[2013-11-09 07:19:21] hum_ph, joining. (#selenium)
[2013-11-09 07:26:41] jimpurbrick, quitting. (Quit: Leaving.)
[2013-11-09 07:50:05] hum_ph, quitting. (Read error: Connection reset by peer)
[2013-11-09 07:50:33] hum_ph, joining. (#selenium)
[2013-11-09 07:55:49] hum_ph, quitting. (Ping timeout: 248 seconds)
[2013-11-09 08:01:29] Selenium-Git, joining. (#selenium)
[2013-11-09 08:01:29] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 1 new commit to 06master: 02http://git.io/YqrZ2Q
[2013-11-09 08:01:29] Selenium-Git: 13selenium/06master 14dfaec38 15Alexei Barantsev: Fixing eclipse classpath
[2013-11-09 08:01:29] Selenium-Git, leaving. (#selenium)
[2013-11-09 08:43:07] jimpurbrick, joining. (#selenium)
[2013-11-09 08:44:10] markboxall, joining. (#selenium)
[2013-11-09 08:44:41] hum_ph, joining. (#selenium)
[2013-11-09 08:45:01] jimpurbrick, quitting. (Client Quit)
[2013-11-09 08:46:43] jimpurbrick, joining. (#selenium)
[2013-11-09 08:47:20] seljenkinsbot: Project IE 9 Java Tests build #2987: UNSTABLE in 9 min 43 sec: http://ci.seleniumhq.org:8080/job/IE%209%20Java%20Tests/2987/
[2013-11-09 08:48:36] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-09 08:49:17] hum_ph, quitting. (Ping timeout: 265 seconds)
[2013-11-09 08:53:18] jimpurbrick, quitting. (Quit: Leaving.)
[2013-11-09 08:55:38] jimpurbrick, joining. (#selenium)
[2013-11-09 09:38:46] hum_ph, joining. (#selenium)
[2013-11-09 09:43:06] hum_ph, quitting. (Ping timeout: 245 seconds)
[2013-11-09 09:43:36] Eleccy_, quitting. (Ping timeout: 252 seconds)
[2013-11-09 09:45:00] Eleccy, joining. (#selenium)
[2013-11-09 10:12:04] hcab, joining. (#selenium)
[2013-11-09 10:16:03] md--, joining. (#selenium)
[2013-11-09 10:16:32] hcab, quitting. (Quit: Colloquy for iPad - http://colloquy.mobi)
[2013-11-09 10:28:59] AutomatedTester_, joining. (#selenium)
[2013-11-09 10:32:53] hum_ph, joining. (#selenium)
[2013-11-09 10:33:01] markboxall, joining. (#selenium)
[2013-11-09 10:35:35] smccarthy, joining. (#selenium)
[2013-11-09 10:37:16] markboxall, quitting. (Ping timeout: 245 seconds)
[2013-11-09 10:37:25] hum_ph, quitting. (Ping timeout: 248 seconds)
[2013-11-09 10:43:07] md--, quitting. (Remote host closed the connection)
[2013-11-09 10:43:40] md--, joining. (#selenium)
[2013-11-09 10:48:11] md--, quitting. (Ping timeout: 265 seconds)
[2013-11-09 10:52:38] md--, joining. (#selenium)
[2013-11-09 10:59:59] Tritan, joining. (#selenium)
[2013-11-09 11:00:19] Tritan, quitting. (Client Quit)
[2013-11-09 11:00:47] Tritan, joining. (#selenium)
