[2013-10-13 05:25:36] plightb__, quitting. (Ping timeout: 245 seconds)
[2013-10-13 05:25:54] Selenium-Git, joining. (#selenium)
[2013-10-13 05:25:55] Selenium-Git: 01[13selenium01] 15none pushed 1 new commit to 06master: 02http://git.io/xZjOBA
[2013-10-13 05:25:55] Selenium-Git: 13selenium/06master 145e9ea0e 15Samit Badle: Fix Selenium IDE icon not appearing on the toolbar for some users. Fixes issue #5712
[2013-10-13 05:25:55] Selenium-Git, leaving. (#selenium)
[2013-10-13 05:45:16] md--, joining. (#selenium)
[2013-10-13 05:46:25] md--, quitting. (Remote host closed the connection)
[2013-10-13 05:46:59] md--, joining. (#selenium)
[2013-10-13 05:51:07] md--, quitting. (Ping timeout: 246 seconds)
[2013-10-13 05:54:26] md--, joining. (#selenium)
[2013-10-13 05:55:13] SamuraiJack_, quitting. (Ping timeout: 272 seconds)
[2013-10-13 05:58:49] md--, quitting. (Ping timeout: 246 seconds)
[2013-10-13 06:22:02] plightbo_work, joining. (#selenium)
[2013-10-13 06:26:28] plightbo_work, quitting. (Ping timeout: 246 seconds)
[2013-10-13 06:28:05] md--, joining. (#selenium)
[2013-10-13 06:32:14] md--, quitting. (Ping timeout: 240 seconds)
[2013-10-13 06:51:35] AutomatedTester_, joining. (#selenium)
[2013-10-13 06:58:18] md--, joining. (#selenium)
[2013-10-13 07:00:11] AutomatedTester_, quitting. (Remote host closed the connection)
[2013-10-13 07:10:54] Oscar, joining. (#selenium)
[2013-10-13 07:15:20] Oscar, quitting. (Ping timeout: 256 seconds)
[2013-10-13 07:22:59] plightbo_work, joining. (#selenium)
[2013-10-13 07:24:16] stepheneb, quitting. (Quit: stepheneb)
[2013-10-13 07:27:41] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-10-13 07:41:01] DarkRift, quitting. ()
[2013-10-13 07:53:07] md--, quitting. (Remote host closed the connection)
[2013-10-13 07:53:42] md--, joining. (#selenium)
[2013-10-13 07:58:24] md--, quitting. (Ping timeout: 256 seconds)
[2013-10-13 08:07:19] smccarthy, joining. (#selenium)
[2013-10-13 08:23:38] plightbo_work, joining. (#selenium)
[2013-10-13 08:28:24] plightbo_work, quitting. (Ping timeout: 265 seconds)
[2013-10-13 08:37:59] noahsussman, joining. (#selenium)
[2013-10-13 08:47:31] noahsussman, quitting. (Remote host closed the connection)
[2013-10-13 08:47:57] noahsussman, joining. (#selenium)
[2013-10-13 08:52:14] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-10-13 09:01:33] noahsussman, joining. (#selenium)
[2013-10-13 09:03:29] pa, quitting. (Ping timeout: 268 seconds)
[2013-10-13 09:03:59] foundatron, joining. (#selenium)
[2013-10-13 09:04:10] foundatron, quitting. (Client Quit)
[2013-10-13 09:06:16] pa, joining. (#selenium)
[2013-10-13 09:15:31] nirvdrum, joining. (#selenium)
[2013-10-13 09:24:12] plightbo_work, joining. (#selenium)
[2013-10-13 09:29:01] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-10-13 09:51:52] noahsussman, quitting. (Remote host closed the connection)
