[2013-10-20 11:00:22] admc, joining. (#selenium)
[2013-10-20 11:02:03] DrJenkins, joining. (#selenium)
[2013-10-20 11:06:24] DrJenkins, quitting. (Ping timeout: 256 seconds)
[2013-10-20 11:11:01] dimacus, joining. (#selenium)
[2013-10-20 11:11:32] dimacus, quitting. (Client Quit)
[2013-10-20 11:15:01] schweens, quitting. (Quit: schweens)
[2013-10-20 11:32:36] schweens, joining. (#selenium)
[2013-10-20 11:34:27] DrJenkins, joining. (#selenium)
[2013-10-20 11:37:13] rickd, joining. (#selenium)
[2013-10-20 11:39:37] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 11:42:14] tilgovi, joining. (#selenium)
[2013-10-20 11:42:48] eaj, quitting. (Remote host closed the connection)
[2013-10-20 11:43:22] eaj, joining. (#selenium)
[2013-10-20 11:47:19] admc, quitting. (Read error: Connection reset by peer)
[2013-10-20 11:47:30] admc, joining. (#selenium)
[2013-10-20 11:48:13] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 11:53:00] SamuraiJack, joining. (#selenium)
[2013-10-20 11:55:17] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-10-20 11:55:47] smccarthy, joining. (#selenium)
[2013-10-20 12:06:47] DrJenkins, joining. (#selenium)
[2013-10-20 12:11:55] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 12:14:39] tilgovi_, joining. (#selenium)
[2013-10-20 12:15:07] tilgovi, quitting. (Ping timeout: 248 seconds)
[2013-10-20 12:18:15] SamuraiJack, quitting. (Ping timeout: 272 seconds)
[2013-10-20 12:22:30] tilgovi, joining. (#selenium)
[2013-10-20 12:23:35] tilgovi_, quitting. (Ping timeout: 272 seconds)
[2013-10-20 12:25:08] tobie, joining. (#selenium)
[2013-10-20 12:27:03] noahsussman, joining. (#selenium)
[2013-10-20 12:28:28] schweens, quitting. (Quit: schweens)
[2013-10-20 12:41:12] noahsussman, quitting. (Remote host closed the connection)
[2013-10-20 12:41:38] noahsussman, joining. (#selenium)
[2013-10-20 12:41:51] tilgovi_, joining. (#selenium)
[2013-10-20 12:42:05] tilgovi_, quitting. (Remote host closed the connection)
[2013-10-20 12:42:45] tilgovi, quitting. (Ping timeout: 265 seconds)
[2013-10-20 12:43:49] eaj, joining. (#selenium)
[2013-10-20 12:46:23] noahsussman, quitting. (Ping timeout: 272 seconds)
[2013-10-20 12:48:19] jimpurbrick1, joining. (#selenium)
[2013-10-20 12:48:40] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 12:48:42] jimpurbrick, quitting. (Read error: Connection reset by peer)
[2013-10-20 12:52:52] jimpurbrick1, quitting. (Read error: Connection reset by peer)
[2013-10-20 12:53:12] jimpurbrick, joining. (#selenium)
[2013-10-20 12:53:59] eaj, joining. (#selenium)
[2013-10-20 12:59:47] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 13:00:28] qba73_, joining. (#selenium)
[2013-10-20 13:00:59] qba73_, quitting. (Client Quit)
[2013-10-20 13:11:36] DrJenkins, joining. (#selenium)
[2013-10-20 13:16:31] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 13:17:15] admc, quitting. (Quit: Leaving.)
[2013-10-20 13:40:29] barancev: :log
[2013-10-20 13:40:29] selbot2: https://raw.github.com/SeleniumHQ/irc-logs/master/2013/10/20.txt
[2013-10-20 13:43:50] DrJenkins, joining. (#selenium)
[2013-10-20 13:48:33] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 13:50:59] java_dev, joining. (#selenium)
[2013-10-20 13:52:14] noahsussman, joining. (#selenium)
[2013-10-20 13:54:43] java_dev, leaving. (#selenium)
[2013-10-20 13:55:19] eaj, joining. (#selenium)
[2013-10-20 13:57:03] noahsussman, quitting. (Ping timeout: 272 seconds)
[2013-10-20 13:59:57] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 14:04:51] farlan, joining. (#selenium)
[2013-10-20 14:16:15] DrJenkins, joining. (#selenium)
[2013-10-20 14:19:15] jimpurbrick1, joining. (#selenium)
[2013-10-20 14:20:51] DrJenkin_, joining. (#selenium)
[2013-10-20 14:21:23] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 14:21:23] mehwork, quitting. (Ping timeout: 272 seconds)
[2013-10-20 14:23:39] jimpurbrick1, quitting. (Ping timeout: 248 seconds)
[2013-10-20 14:23:55] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2013-10-20 14:25:00] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-10-20 14:55:52] eaj, joining. (#selenium)
[2013-10-20 15:00:45] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 15:05:54] eaj, joining. (#selenium)
[2013-10-20 15:10:35] eaj, quitting. (Ping timeout: 248 seconds)
[2013-10-20 15:21:05] DrJenkins, joining. (#selenium)
[2013-10-20 15:25:59] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 15:31:22] evanton, joining. (#selenium)
[2013-10-20 15:32:21] evanton: do WebElement instances have a method to dump themselves as string containing HTML? I am using the python bindings for selenium
[2013-10-20 15:53:27] DrJenkins, joining. (#selenium)
[2013-10-20 15:58:14] DrJenkins, quitting. (Ping timeout: 256 seconds)
[2013-10-20 16:07:20] eaj, joining. (#selenium)
[2013-10-20 16:12:19] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 16:25:43] DrJenkins, joining. (#selenium)
