[2015-03-07 08:01:33] smccarthy, quitting. (Remote host closed the connection)
[2015-03-07 08:02:44] smccarthy, joining. (#selenium)
[2015-03-07 08:05:34] bbark123, quitting. (Ping timeout: 272 seconds)
[2015-03-07 08:15:58] smccarthy, quitting. (Quit: Leaving...)
[2015-03-07 08:21:01] Padawan, joining. (#selenium)
[2015-03-07 08:23:27] Padawan: Hello guys, a quick question, do you guys use keyword driven frameworks, or the default functional style of frameworks?
[2015-03-07 08:38:12] bbark123, joining. (#selenium)
[2015-03-07 08:43:15] Hestil, quitting. (Remote host closed the connection)
[2015-03-07 08:43:32] Hestil, joining. (#selenium)
[2015-03-07 08:46:00] Hestil, quitting. (Remote host closed the connection)
[2015-03-07 08:54:07] tony2, quitting. (Quit: Leaving.)
[2015-03-07 09:00:33] Sourcerer, joining. (#selenium)
[2015-03-07 09:01:33] p0deje, joining. (#selenium)
[2015-03-07 09:10:42] swampdragons, joining. (#selenium)
[2015-03-07 09:14:33] p0deje_, joining. (#selenium)
[2015-03-07 09:17:46] p0deje, quitting. (Ping timeout: 272 seconds)
[2015-03-07 09:17:47] p0deje_, changing nick to p0deje.
[2015-03-07 09:23:03] p0deje, quitting. (Quit: p0deje)
[2015-03-07 09:23:20] kggr, joining. (#selenium)
[2015-03-07 09:36:54] swampdragons, quitting. (Quit: Leaving.)
[2015-03-07 09:46:02] swampdragons, joining. (#selenium)
[2015-03-07 09:50:33] swampdragons, quitting. (Ping timeout: 252 seconds)
[2015-03-07 10:04:15] eindoofus, joining. (#selenium)
[2015-03-07 10:15:20] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-03-07 10:17:52] Sourcerer, joining. (#selenium)
[2015-03-07 10:31:06] mdilts11, quitting. (Ping timeout: 252 seconds)
[2015-03-07 10:32:20] korg, joining. (#selenium)
[2015-03-07 10:35:59] ThePeach: hi all
[2015-03-07 10:36:17] kggr, quitting. (Ping timeout: 244 seconds)
[2015-03-07 10:36:56] korg, quitting. (Ping timeout: 264 seconds)
[2015-03-07 10:46:31] tony2, joining. (#selenium)
[2015-03-07 10:48:20] smccarthy, joining. (#selenium)
[2015-03-07 10:49:11] Padawan, quitting. (Ping timeout: 256 seconds)
[2015-03-07 10:52:14] ThePeach: I've got a weird error, I'm using webdriver through codeception, it works fine when the tests are triggered from within my VM, but then I trigger them from the host machine the browser hangs when trying to load the page... has anyone an idea of what's wrong?
[2015-03-07 10:55:08] Padawan, joining. (#selenium)
[2015-03-07 10:58:50] ThePeach: TBH the tests excuted from within the VM seems to take less time, but they hang as well
[2015-03-07 11:03:39] kggr, joining. (#selenium)
[2015-03-07 11:05:19] nirvdrum, joining. (#selenium)
[2015-03-07 11:10:54] kggr, quitting. (Ping timeout: 244 seconds)
[2015-03-07 11:25:15] Hipska, joining. (#selenium)
[2015-03-07 11:33:22] smccarthy, quitting. (Remote host closed the connection)
[2015-03-07 11:50:08] Hestil, joining. (#selenium)
[2015-03-07 11:57:48] Hestil, quitting. (Remote host closed the connection)
[2015-03-07 11:58:05] Hestil, joining. (#selenium)
[2015-03-07 12:11:01] operatiay, joining. (#selenium)
[2015-03-07 12:16:23] emperorcezar, joining. (#selenium)
[2015-03-07 12:19:56] Padawan, quitting. (Disconnected by services)
[2015-03-07 12:22:10] Padawan, joining. (#selenium)
[2015-03-07 12:56:00] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-03-07 12:57:39] farlan1, leaving. (#selenium)
[2015-03-07 13:00:15] admc, joining. (#selenium)
[2015-03-07 13:04:46] admc, quitting. (Ping timeout: 256 seconds)
[2015-03-07 13:46:42] smccarthy, joining. (#selenium)
[2015-03-07 13:57:11] wicope, quitting. (Remote host closed the connection)
[2015-03-07 14:00:33] Hestil, quitting. (Remote host closed the connection)
[2015-03-07 14:01:45] Padawan_, joining. (#selenium)
[2015-03-07 14:01:45] Padawan, quitting. (Disconnected by services)
[2015-03-07 14:06:21] mushroomed, quitting. (Quit: b00~)
[2015-03-07 14:07:02] Hestil, joining. (#selenium)
[2015-03-07 14:07:57] yenaemj, joining. (#selenium)
[2015-03-07 14:10:13] smccarthy, quitting. (Remote host closed the connection)
[2015-03-07 14:11:59] smccarthy, joining. (#selenium)
[2015-03-07 14:18:07] Padawan_, quitting. (Ping timeout: 250 seconds)
[2015-03-07 14:18:59] yenaemj_, joining. (#selenium)
[2015-03-07 14:22:43] yenaemj, quitting. (Ping timeout: 265 seconds)
[2015-03-07 15:14:23] smccarthy, quitting. (Quit: Leaving...)
[2015-03-07 15:17:18] Hestil, quitting. (Ping timeout: 240 seconds)
[2015-03-07 16:02:56] Takumo, quitting. (Remote host closed the connection)
[2015-03-07 16:12:39] knownasilya, joining. (#selenium)
[2015-03-07 16:48:33] tony2, quitting. (Quit: Leaving.)
[2015-03-07 16:56:15] gusTester, joining. (#selenium)
[2015-03-07 17:00:11] yenaemj_, quitting. (Ping timeout: 244 seconds)
[2015-03-07 17:07:14] bitgeeky, joining. (#selenium)
[2015-03-07 17:08:59] bitgeeky, quitting. (Client Quit)
[2015-03-07 17:11:04] tony2, joining. (#selenium)
[2015-03-07 17:22:20] tony2, quitting. (Quit: Leaving.)
[2015-03-07 17:23:25] tony2, joining. (#selenium)
[2015-03-07 17:42:09] brian___, joining. (#selenium)
[2015-03-07 17:43:39] tony2, quitting. (Quit: Leaving.)
[2015-03-07 17:50:41] brian___, quitting. (Remote host closed the connection)
[2015-03-07 18:04:07] dmarr, quitting. (Quit: Goodbye)
[2015-03-07 18:08:39] Hipska, quitting. (Quit: Connection closed for inactivity)
[2015-03-07 18:09:05] tony2, joining. (#selenium)
