[2015-03-29 07:36:03] barancev: these five languages are "officially" supported
[2015-03-29 07:36:39] barancev: and we tend to keep them in sync
[2015-03-29 08:08:57] Hestil, joining. (#selenium)
[2015-03-29 08:19:35] bl4ckscor3, quitting. (Ping timeout: 255 seconds)
[2015-03-29 08:22:44] bl4ckscor3, joining. (#selenium)
[2015-03-29 08:23:16] errant_rider, joining. (#selenium)
[2015-03-29 08:25:22] michl68, quitting. (Quit: michl68)
[2015-03-29 08:25:56] Hestil, quitting. (Read error: Connection timed out)
[2015-03-29 08:33:31] errant_rider, quitting. (Quit: Leaving.)
[2015-03-29 08:34:50] Hestil, joining. (#selenium)
[2015-03-29 08:37:34] sugaku, joining. (#selenium)
[2015-03-29 08:42:32] sugaku, quitting. (Ping timeout: 255 seconds)
[2015-03-29 08:50:10] Hestil, quitting. (Ping timeout: 245 seconds)
[2015-03-29 09:29:38] Hestil, joining. (#selenium)
[2015-03-29 09:49:44] gittish, quitting. (Quit: gittish)
[2015-03-29 09:51:28] andrevmatos, joining. (#selenium)
[2015-03-29 09:51:44] oida, quitting. (Ping timeout: 256 seconds)
[2015-03-29 09:55:00] oida, joining. (#selenium)
[2015-03-29 10:06:55] andrevmatos, quitting. (Remote host closed the connection)
[2015-03-29 10:07:45] andrevmatos, joining. (#selenium)
[2015-03-29 10:16:04] michl68, joining. (#selenium)
[2015-03-29 10:28:25] fatguylaughing, joining. (#selenium)
[2015-03-29 10:39:33] cristi, joining. (#selenium)
[2015-03-29 11:05:01] nirvdrum, joining. (#selenium)
[2015-03-29 11:25:44] IAmNotThatGuy, quitting. (Quit: Leaving)
[2015-03-29 11:28:28] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-03-29 11:28:33] admc, joining. (#selenium)
[2015-03-29 11:48:34] michl68, quitting. (Quit: michl68)
[2015-03-29 12:37:49] DarkElement, quitting. ()
[2015-03-29 14:14:06] admc, quitting. (Quit: Leaving.)
[2015-03-29 14:14:18] admc, joining. (#selenium)
[2015-03-29 14:24:49] andrevmatos, quitting. (Remote host closed the connection)
[2015-03-29 14:42:02] Hestil, quitting. (Ping timeout: 256 seconds)
[2015-03-29 14:49:49] Padawan, quitting. (Ping timeout: 272 seconds)
[2015-03-29 14:53:48] Padawan, joining. (#selenium)
[2015-03-29 15:21:59] Selenium-Github: [13selenium] 15barancev pushed 3 new commits to 06master: 02http://git.io/jwxX
[2015-03-29 15:22:00] Selenium-Github: 13selenium/06master 1432e764d 15Alexei Barantsev: Implementing ability to pass whitelisted-ips option to the chromedriver
[2015-03-29 15:22:00] Selenium-Github: 13selenium/06master 142ff2ab2 15Alexei Barantsev: python: Closing driver server i/o channels when driver server stopped. Fixes issue 8498 on googlecode
[2015-03-29 15:22:00] Selenium-Github: 13selenium/06master 1425fe2cf 15Alexei Barantsev: python: Fixing reference to API doc online
[2015-03-29 15:26:25] admc, quitting. (Quit: Leaving.)
[2015-03-29 15:27:03] Padawan, quitting. (Disconnected by services)
[2015-03-29 15:27:04] Padawan_, joining. (#selenium)
[2015-03-29 15:34:49] admc, joining. (#selenium)
[2015-03-29 15:38:29] admc, quitting. (Client Quit)
[2015-03-29 16:02:40] oida, quitting. (Ping timeout: 272 seconds)
[2015-03-29 16:04:32] sugaku, joining. (#selenium)
[2015-03-29 16:08:46] seljenkinsbot: Project IE 11 Java Tests build #732: UNSTABLE in 12 min: http://ci.seleniumhq.org:8080/job/IE%2011%20Java%20Tests/732/
[2015-03-29 16:16:21] swampdragons, joining. (#selenium)
[2015-03-29 16:17:22] seljenkinsbot: Project IE 10 Java Tests build #1773: UNSTABLE in 12 min: http://ci.seleniumhq.org:8080/job/IE%2010%20Java%20Tests/1773/
[2015-03-29 16:30:42] oida, joining. (#selenium)
[2015-03-29 16:32:19] Sourcerer, joining. (#selenium)
[2015-03-29 16:37:11] errant_rider, joining. (#selenium)
[2015-03-29 16:43:17] swampdragons, quitting. (Quit: Leaving.)
[2015-03-29 16:43:53] errant_rider, quitting. (Read error: Connection reset by peer)
[2015-03-29 16:44:16] errant_rider, joining. (#selenium)
[2015-03-29 16:59:38] Sourcerer, quitting. ()
[2015-03-29 17:03:23] Tendoncs, quitting. (Read error: Connection reset by peer)
[2015-03-29 17:03:42] Tendoncs, joining. (#selenium)
[2015-03-29 17:06:17] farlan, quitting. (Quit: Leaving.)
[2015-03-29 17:12:08] errant_rider, quitting. (Quit: Leaving.)
