[2013-05-05 03:41:49] markalanevans, joining. (#selenium)
[2013-05-05 03:41:49] vila, joining. (#selenium)
[2013-05-05 03:41:49] Parabola, joining. (#selenium)
[2013-05-05 03:41:49] ThePeach, joining. (#selenium)
[2013-05-05 03:41:49] ebi, joining. (#selenium)
[2013-05-05 03:41:49] Stephen, joining. (#selenium)
[2013-05-05 03:41:49] admc1, joining. (#selenium)
[2013-05-05 03:41:49] Bracki_, joining. (#selenium)
[2013-05-05 03:41:49] djinni_, joining. (#selenium)
[2013-05-05 03:41:49] retornam, joining. (#selenium)
[2013-05-05 03:41:49] Hz0, joining. (#selenium)
[2013-05-05 03:41:49] selbot2_, joining. (#selenium)
[2013-05-05 03:41:49] xirkus_, joining. (#selenium)
[2013-05-05 03:41:49] admc, joining. (#selenium)
[2013-05-05 03:41:49] hugs_, joining. (#selenium)
[2013-05-05 03:41:49] sedulous, joining. (#selenium)
[2013-05-05 03:41:49] barancev, joining. (#selenium)
[2013-05-05 03:41:49] sburjan, joining. (#selenium)
[2013-05-05 03:41:49] dregin, joining. (#selenium)
[2013-05-05 03:41:49] dross, joining. (#selenium)
[2013-05-05 03:41:49] krosenvold__, joining. (#selenium)
[2013-05-05 03:41:49] capri, joining. (#selenium)
[2013-05-05 03:41:49] melter, joining. (#selenium)
[2013-05-05 03:41:49] nhirata, joining. (#selenium)
[2013-05-05 03:41:49] knorrium, joining. (#selenium)
[2013-05-05 03:41:49] txwikinger, joining. (#selenium)
[2013-05-05 03:41:49] AutomatedTester, joining. (#selenium)
[2013-05-05 03:41:49] KaibutsuX, joining. (#selenium)
[2013-05-05 03:41:49] JavaFerr1t, joining. (#selenium)
[2013-05-05 03:41:49] floppyears, joining. (#selenium)
[2013-05-05 03:41:49] seljenkinsbot, joining. (#selenium)
[2013-05-05 03:41:49] jualam, joining. (#selenium)
[2013-05-05 03:41:49] munro, joining. (#selenium)
[2013-05-05 03:41:49] iblue, joining. (#selenium)
[2013-05-05 03:41:49] dhpe, joining. (#selenium)
[2013-05-05 03:41:49] sahazel, joining. (#selenium)
[2013-05-05 03:41:49] Dude-X_, joining. (#selenium)
[2013-05-05 03:41:49] ztane, joining. (#selenium)
[2013-05-05 03:41:49] jbonacci, joining. (#selenium)
[2013-05-05 03:41:49] eghm, joining. (#selenium)
[2013-05-05 03:41:49] housewifehacker1, joining. (#selenium)
[2013-05-05 03:41:49] Getty, joining. (#selenium)
[2013-05-05 03:41:49] andreastt, joining. (#selenium)
[2013-05-05 03:41:49] vazakl-, joining. (#selenium)
[2013-05-05 03:41:49] agustinf, joining. (#selenium)
[2013-05-05 03:41:49] Moo-_-, joining. (#selenium)
[2013-05-05 03:41:49] akoumjian, joining. (#selenium)
[2013-05-05 03:42:01] admc1, quitting. (Ping timeout: 264 seconds)
[2013-05-05 03:42:02] mika, quitting. (Ping timeout: 245 seconds)
[2013-05-05 03:44:27] jacksoncage, joining. (#selenium)
[2013-05-05 03:46:00] mika, joining. (#selenium)
[2013-05-05 04:06:49] admc1, joining. (#selenium)
[2013-05-05 04:09:45] freynaud, joining. (#selenium)
[2013-05-05 04:10:58] admc1, quitting. (Ping timeout: 245 seconds)
[2013-05-05 04:11:06] sedulous: how can I speed up get_attribute?
[2013-05-05 04:11:30] sedulous: e.g. too get many hrefs from the browser
[2013-05-05 04:12:06] sedulous: *to
[2013-05-05 04:16:11] Hz0, quitting. (Ping timeout: 248 seconds)
[2013-05-05 04:16:11] Hz0, joining. (#selenium)
[2013-05-05 04:42:34] jacksoncage, quitting. (Quit: Computer has gone to sleep.)
[2013-05-05 04:48:53] robpark, joining. (#selenium)
[2013-05-05 04:58:05] Ardesco_Home, joining. (#selenium)
[2013-05-05 04:59:00] Ardesco_Home: :log
[2013-05-05 04:59:01] selbot2_: https://raw.github.com/SeleniumHQ/irc-logs/master/2013/05/05.txt
