[2013-05-19 11:51:04] Selenium-Git: 13selenium/06master 148052f51 15Alexei Barantsev: Increasing port range for Firefox to listen to from 200 to 2000. Fixes...
[2013-05-19 11:51:04] Selenium-Git, leaving. (#selenium)
[2013-05-19 12:14:18] plightbo, joining. (#selenium)
[2013-05-19 12:18:48] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 12:46:01] Selenium-Git, joining. (#selenium)
[2013-05-19 12:46:01] Selenium-Git: [13selenium] 15jayakumarc opened pull request #77: [CrazyFun] Fixing the issue when running python IE test target. Removed IEDriver dl... (06master...06patch-17)  02http://git.io/SxCC6w
[2013-05-19 12:46:01] Selenium-Git, leaving. (#selenium)
[2013-05-19 13:01:43] Baygon, quitting. (Ping timeout: 264 seconds)
[2013-05-19 13:04:49] seljenkinsbot: Project Opera 12.01 XP Java Tests build #851: FIXED in 7 min 54 sec: http://ci.seleniumhq.org:8080/job/Opera%2012.01%20XP%20Java%20Tests/851/
[2013-05-19 13:10:42] rbalent, joining. (#selenium)
[2013-05-19 13:10:42] rbalent, quitting. (Changing host)
[2013-05-19 13:10:42] rbalent, joining. (#selenium)
[2013-05-19 13:14:27] plightbo, joining. (#selenium)
[2013-05-19 13:18:59] plightbo, quitting. (Ping timeout: 252 seconds)
[2013-05-19 13:24:56] Swadq, joining. (#selenium)
[2013-05-19 13:29:52] SamuraiJack, joining. (#selenium)
[2013-05-19 13:50:41] SamuraiJack__, quitting. (Remote host closed the connection)
[2013-05-19 13:53:43] SamuraiJack, quitting. (Ping timeout: 256 seconds)
[2013-05-19 14:13:44] Swadq, quitting. (Read error: Connection reset by peer)
[2013-05-19 14:14:13] Swadq, joining. (#selenium)
[2013-05-19 14:14:35] plightbo, joining. (#selenium)
[2013-05-19 14:19:50] ShawnM, quitting. (Remote host closed the connection)
[2013-05-19 14:21:12] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 14:24:52] Swadq, quitting. (Quit: Bai everyone)
[2013-05-19 14:31:59] Swadq, joining. (#selenium)
[2013-05-19 14:35:05] Selenium-Git, joining. (#selenium)
[2013-05-19 14:35:05] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 1 new commit to 06master: 02http://git.io/PXH7Kg
[2013-05-19 14:35:05] Selenium-Git: 13selenium/06master 140dddc7b 15Alexei Barantsev: Unignoring a test that passes in all browsers. Fixes issue 2709
[2013-05-19 14:35:05] Selenium-Git, leaving. (#selenium)
[2013-05-19 14:50:29] yyoshi, joining. (#selenium)
[2013-05-19 15:04:58] Swadq, quitting. (Quit: Swadq)
[2013-05-19 15:06:36] Swadq, joining. (#selenium)
[2013-05-19 15:14:46] plightbo, joining. (#selenium)
[2013-05-19 15:19:34] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 15:29:13] yyoshi, quitting. (Quit: Page closed)
[2013-05-19 15:30:24] ShawnM, joining. (#selenium)
[2013-05-19 15:31:45] Swadq, quitting. (Quit: Swadq)
[2013-05-19 15:32:27] Wessix2, quitting. (Quit: Nettalk6 - www.ntalk.de)
[2013-05-19 15:32:31] Swadq, joining. (#selenium)
[2013-05-19 15:34:57] ShawnM, quitting. (Ping timeout: 256 seconds)
[2013-05-19 16:14:56] plightbo, joining. (#selenium)
[2013-05-19 16:19:38] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 16:51:12] Swadq, quitting. (Quit: Bai everyone)
[2013-05-19 17:01:03] plightbo, joining. (#selenium)
[2013-05-19 17:03:12] plightbo, quitting. (Remote host closed the connection)
[2013-05-19 17:03:38] plightbo, joining. (#selenium)
[2013-05-19 17:08:01] plightbo, quitting. (Ping timeout: 246 seconds)
[2013-05-19 17:30:58] nirvdrum, joining. (#selenium)
[2013-05-19 18:03:39] plightbo, joining. (#selenium)
[2013-05-19 18:08:26] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 18:11:34] rbalent, quitting. (Ping timeout: 256 seconds)
[2013-05-19 18:14:07] plightbo, joining. (#selenium)
[2013-05-19 18:19:46] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 18:39:53] admc1, joining. (#selenium)
[2013-05-19 18:40:34] tinygeo, joining. (#selenium)
[2013-05-19 19:02:01] nirvdrum, quitting. (Remote host closed the connection)
[2013-05-19 19:05:49] nirvdrum, joining. (#selenium)
[2013-05-19 19:15:05] plightbo, joining. (#selenium)
[2013-05-19 19:16:25] admc1, quitting. (Quit: Leaving.)
[2013-05-19 19:16:48] tinygeo, quitting. (Quit: Leaving.)
[2013-05-19 19:19:50] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 19:54:55] Revery, joining. (#selenium)
[2013-05-19 19:54:58] Revery, leaving. (#selenium)
[2013-05-19 20:15:35] plightbo, joining. (#selenium)
[2013-05-19 20:19:27] ShawnM, joining. (#selenium)
[2013-05-19 20:19:54] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-19 20:26:05] plightbo, joining. (#selenium)
[2013-05-19 20:30:40] plightbo, quitting. (Ping timeout: 256 seconds)
