[2013-05-18 16:54:14] tinygeo, quitting. (Quit: Leaving.)
[2013-05-18 17:17:01] Turzai, quitting. (Ping timeout: 256 seconds)
[2013-05-18 17:22:09] milligan, quitting. (Ping timeout: 245 seconds)
[2013-05-18 17:40:24] milligan, joining. (#selenium)
[2013-05-18 17:46:43] tinygeo, joining. (#selenium)
[2013-05-18 18:08:54] Quadlex, changing nick to AwayLex.
[2013-05-18 18:11:36] plightbo, joining. (#selenium)
[2013-05-18 18:15:54] plightbo, quitting. (Ping timeout: 245 seconds)
[2013-05-18 18:47:11] tinygeo, quitting. (Quit: Leaving.)
[2013-05-18 18:57:16] milligan_, joining. (#selenium)
[2013-05-18 18:57:16] milligan, quitting. (Disconnected by services)
[2013-05-18 19:11:43] plightbo, joining. (#selenium)
[2013-05-18 19:13:57] milligan_, quitting. (Read error: Operation timed out)
[2013-05-18 19:14:31] milligan, joining. (#selenium)
[2013-05-18 19:17:06] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 19:33:31] rbalent, quitting. (Ping timeout: 264 seconds)
[2013-05-18 20:11:51] plightbo, joining. (#selenium)
[2013-05-18 20:12:41] milligan, quitting. (Ping timeout: 240 seconds)
[2013-05-18 20:12:46] milligan, joining. (#selenium)
[2013-05-18 20:16:36] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-18 21:47:19] stackedsax, quitting. (Quit: Leaving.)
[2013-05-18 22:07:51] tinygeo, joining. (#selenium)
[2013-05-18 22:12:08] plightbo, joining. (#selenium)
[2013-05-18 22:16:51] plightbo, quitting. (Ping timeout: 260 seconds)
[2013-05-18 22:28:08] AwayLex, changing nick to Quadlex.
[2013-05-18 22:47:00] tinygeo, quitting. (Quit: Leaving.)
[2013-05-18 22:47:31] ddary, joining. (#selenium)
[2013-05-18 22:52:30] ddary, quitting. (Quit: ddary)
[2013-05-18 23:07:52] SamuraiJack, joining. (#selenium)
[2013-05-18 23:08:55] tinygeo, joining. (#selenium)
[2013-05-18 23:15:43] zuppy, joining. (#selenium)
[2013-05-18 23:51:02] Scoding, quitting. (Ping timeout: 276 seconds)
[2013-05-18 23:58:24] admc1, joining. (#selenium)
