[2015-08-09 11:51:05] sgsabbage, joining. (#selenium)
[2015-08-09 11:51:35] dude-x, joining. (#selenium)
[2015-08-09 11:52:39] rorycb, joining. (#selenium)
[2015-08-09 11:57:07] rorycb, quitting. (Ping timeout: 260 seconds)
[2015-08-09 12:11:04] smccarthy, quitting. (Quit: Leaving...)
[2015-08-09 12:47:28] dude-x, quitting. (Read error: Connection reset by peer)
[2015-08-09 12:48:45] michl68, quitting. (Quit: michl68)
[2015-08-09 12:49:32] dude-x, joining. (#selenium)
[2015-08-09 12:54:27] michl68, joining. (#selenium)
[2015-08-09 12:54:39] merike, changing nick to merike|away.
[2015-08-09 12:55:01] kggr, quitting. (Ping timeout: 240 seconds)
[2015-08-09 12:55:21] michl68, quitting. (Client Quit)
[2015-08-09 13:17:52] dude-x, quitting. (Read error: Connection reset by peer)
[2015-08-09 13:19:04] dude-x, joining. (#selenium)
[2015-08-09 13:37:21] dude-x, quitting. (Read error: Connection reset by peer)
[2015-08-09 13:37:54] dude-x, joining. (#selenium)
[2015-08-09 13:51:52] tiagoboldt, joining. (#selenium)
[2015-08-09 13:57:49] dude-x__, joining. (#selenium)
[2015-08-09 13:59:10] dude-x, quitting. (Read error: Connection reset by peer)
[2015-08-09 14:02:34] tiagoboldt, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-08-09 14:09:39] tiagoboldt, joining. (#selenium)
[2015-08-09 14:11:31] tiagoboldt, quitting. (Client Quit)
[2015-08-09 14:15:24] dude-x__, quitting. (Read error: Connection reset by peer)
[2015-08-09 14:16:38] dude-x, joining. (#selenium)
[2015-08-09 14:37:27] pericles, joining. (#selenium)
[2015-08-09 14:39:39] mirazi_heket, quitting. (Read error: Connection reset by peer)
[2015-08-09 14:40:22] ranger81, quitting. (Read error: Connection reset by peer)
[2015-08-09 14:40:37] ranger81, joining. (#selenium)
[2015-08-09 14:47:04] ranger81, quitting. (Remote host closed the connection)
[2015-08-09 15:01:54] tony2, joining. (#selenium)
[2015-08-09 15:03:13] smyers, quitting. (Ping timeout: 250 seconds)
[2015-08-09 15:06:46] dude-x, quitting. (Read error: Connection reset by peer)
[2015-08-09 15:07:15] smyers, joining. (#selenium)
[2015-08-09 15:08:34] dude-x, joining. (#selenium)
[2015-08-09 15:20:23] tony2, quitting. (Quit: Leaving.)
