[2013-12-15 06:17:49] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 06:18:21] DrJenkins, joining. (#selenium)
[2013-12-15 06:22:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 06:23:01] DrJenkins, joining. (#selenium)
[2013-12-15 06:24:35] markboxall, joining. (#selenium)
[2013-12-15 06:26:08] richdownie, quitting. (Quit: richdownie)
[2013-12-15 06:27:21] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 06:27:40] farlan, joining. (#selenium)
[2013-12-15 06:27:43] DrJenkins, joining. (#selenium)
[2013-12-15 06:28:29] unix_rocks, joining. (#selenium)
[2013-12-15 06:29:09] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-15 06:32:27] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 06:32:41] DrJenkins, joining. (#selenium)
[2013-12-15 06:36:39] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 06:36:59] DrJenkins, joining. (#selenium)
[2013-12-15 06:38:06] richdownie, joining. (#selenium)
[2013-12-15 06:38:55] richdownie, quitting. (Client Quit)
[2013-12-15 06:41:36] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-15 06:41:42] DrJenkins, joining. (#selenium)
[2013-12-15 06:46:07] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 06:46:22] DrJenkins, joining. (#selenium)
[2013-12-15 06:50:36] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 06:51:01] DrJenkins, joining. (#selenium)
[2013-12-15 06:55:16] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 06:55:44] DrJenkins, joining. (#selenium)
[2013-12-15 06:57:43] farlan, quitting. (Quit: Leaving.)
[2013-12-15 06:59:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 07:00:28] DrJenkins, joining. (#selenium)
[2013-12-15 07:01:32] smccarthy, joining. (#selenium)
[2013-12-15 07:05:03] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 07:05:09] DrJenkin_, joining. (#selenium)
[2013-12-15 07:09:48] DrJenkins, joining. (#selenium)
[2013-12-15 07:09:51] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-15 07:14:09] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 07:14:25] DrJenkins, joining. (#selenium)
[2013-12-15 07:18:36] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 07:19:34] DrJenkins, joining. (#selenium)
[2013-12-15 07:22:37] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 07:24:07] DrJenkins, joining. (#selenium)
[2013-12-15 07:28:18] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 07:28:49] DrJenkins, joining. (#selenium)
[2013-12-15 07:31:17] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 07:33:30] DrJenkins, joining. (#selenium)
[2013-12-15 07:34:30] jaywink, joining. (#selenium)
[2013-12-15 07:36:12] guest669, joining. (#selenium)
[2013-12-15 07:37:54] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 07:38:11] DrJenkins, joining. (#selenium)
[2013-12-15 07:42:33] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 07:43:00] DrJenkins, joining. (#selenium)
[2013-12-15 07:47:15] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 07:47:38] DrJenkins, joining. (#selenium)
[2013-12-15 07:49:18] jaywink, quitting. (Ping timeout: 265 seconds)
[2013-12-15 07:52:05] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 07:52:21] DrJenkins, joining. (#selenium)
[2013-12-15 07:56:53] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 07:56:57] DrJenkin_, joining. (#selenium)
[2013-12-15 07:59:21] farlan, joining. (#selenium)
[2013-12-15 08:01:06] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-15 08:01:37] DrJenkins, joining. (#selenium)
[2013-12-15 08:05:48] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 08:06:16] DrJenkins, joining. (#selenium)
[2013-12-15 08:09:13] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 08:10:55] DrJenkins, joining. (#selenium)
[2013-12-15 08:13:32] markboxall, joining. (#selenium)
[2013-12-15 08:15:24] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-15 08:15:37] DrJenkins, joining. (#selenium)
[2013-12-15 08:18:03] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-15 08:20:02] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 08:20:17] DrJenkins, joining. (#selenium)
[2013-12-15 08:24:37] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 08:24:58] DrJenkins, joining. (#selenium)
[2013-12-15 08:27:33] SamuraiJack_, joining. (#selenium)
[2013-12-15 08:29:26] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 08:29:42] DrJenkins, joining. (#selenium)
[2013-12-15 08:33:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 08:37:09] SamuraiJack_, quitting. (Ping timeout: 265 seconds)
[2013-12-15 08:39:01] DrJenkins, joining. (#selenium)
[2013-12-15 08:40:16] kedoodek, quitting. (Ping timeout: 245 seconds)
[2013-12-15 08:40:40] farlan, quitting. (Quit: Leaving.)
[2013-12-15 08:43:17] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 08:43:41] DrJenkins, joining. (#selenium)
[2013-12-15 08:46:41] kedoodek, joining. (#selenium)
[2013-12-15 08:47:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 08:48:18] DrJenkins, joining. (#selenium)
[2013-12-15 08:52:28] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 08:53:02] DrJenkins, joining. (#selenium)
[2013-12-15 08:57:41] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 09:06:59] DrJenkins, joining. (#selenium)
[2013-12-15 09:11:39] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-15 09:11:41] DrJenkin_, joining. (#selenium)
[2013-12-15 09:12:28] Selenium-Git, joining. (#selenium)
[2013-12-15 09:12:28] Selenium-Git: 13selenium/06master 14ff23eac 15Jari Bakken: Don't require rake when loading selenium-client. Fixes issue 6709.
[2013-12-15 09:12:28] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 1 new commit to 06master: 02http://git.io/mcmK1Q
[2013-12-15 09:12:28] Selenium-Git, leaving. (#selenium)
[2013-12-15 09:15:51] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-15 09:16:18] DrJenkins, joining. (#selenium)
[2013-12-15 09:16:39] sebv, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2013-12-15 09:20:41] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 09:20:57] DrJenkins, joining. (#selenium)
[2013-12-15 09:25:22] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 09:25:41] DrJenkins, joining. (#selenium)
[2013-12-15 09:30:06] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 09:30:18] DrJenkins, joining. (#selenium)
[2013-12-15 09:33:51] elopio, quitting. (Ping timeout: 240 seconds)
[2013-12-15 09:34:26] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 09:34:59] DrJenkins, joining. (#selenium)
[2013-12-15 09:38:52] davidlai, joining. (#selenium)
[2013-12-15 09:39:08] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 09:39:40] DrJenkins, joining. (#selenium)
[2013-12-15 09:43:55] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 09:44:15] DrJenkins, joining. (#selenium)
[2013-12-15 09:44:53] chenglou, leaving. (#selenium)
[2013-12-15 09:45:01] elopio, joining. (#selenium)
[2013-12-15 09:45:30] davidlai, quitting. (Ping timeout: 253 seconds)
[2013-12-15 09:48:58] DrJenkin_, joining. (#selenium)
[2013-12-15 09:48:59] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 09:53:15] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-15 09:53:36] DrJenkins, joining. (#selenium)
[2013-12-15 09:54:44] smccarthy: In a selenium grid node config, is the url and remoteHost the same? In the configuration I see url, remoteHost, and host, and I can't figure out what all the differences are.
[2013-12-15 09:56:06] kedoodek, quitting. (Ping timeout: 245 seconds)
[2013-12-15 09:57:27] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-15 09:58:17] DrJenkins, joining. (#selenium)
[2013-12-15 10:02:15] kedoodek, joining. (#selenium)
[2013-12-15 10:02:20] markboxall, joining. (#selenium)
[2013-12-15 10:02:46] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 10:03:05] DrJenkins, joining. (#selenium)
[2013-12-15 10:06:57] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-12-15 10:07:27] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 10:07:42] DrJenkins, joining. (#selenium)
[2013-12-15 10:12:21] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 10:12:23] DrJenkin_, joining. (#selenium)
[2013-12-15 10:13:47] davidlai, joining. (#selenium)
[2013-12-15 10:16:26] DrJenkin_, quitting. (Read error: Operation timed out)
[2013-12-15 10:17:02] DrJenkins, joining. (#selenium)
[2013-12-15 10:21:31] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 10:21:47] DrJenkin_, joining. (#selenium)
[2013-12-15 10:25:52] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-15 10:26:28] DrJenkins, joining. (#selenium)
[2013-12-15 10:30:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 10:31:05] DrJenkins, joining. (#selenium)
[2013-12-15 10:35:16] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 10:35:45] DrJenkins, joining. (#selenium)
[2013-12-15 10:39:51] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 10:40:23] DrJenkins, joining. (#selenium)
[2013-12-15 10:44:54] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 10:45:02] DrJenkins, joining. (#selenium)
[2013-12-15 10:49:24] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-15 10:49:41] DrJenkins, joining. (#selenium)
[2013-12-15 10:53:57] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 10:54:22] DrJenkins, joining. (#selenium)
[2013-12-15 10:58:36] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 10:59:02] DrJenkins, joining. (#selenium)
[2013-12-15 11:03:29] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-15 11:03:44] DrJenkins, joining. (#selenium)
[2013-12-15 11:04:24] admc, joining. (#selenium)
[2013-12-15 11:07:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 11:08:30] DrJenkins, joining. (#selenium)
[2013-12-15 11:11:12] admc, quitting. (Quit: Leaving.)
[2013-12-15 11:12:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 11:13:12] Eleccy, quitting. (Ping timeout: 260 seconds)
[2013-12-15 11:13:16] DrJenkins, joining. (#selenium)
[2013-12-15 11:14:49] jaywink, joining. (#selenium)
[2013-12-15 11:17:25] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 11:17:53] DrJenkins, joining. (#selenium)
[2013-12-15 11:22:15] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-15 11:22:35] DrJenkins, joining. (#selenium)
[2013-12-15 11:23:54] admc, joining. (#selenium)
[2013-12-15 11:27:11] DrJenkin_, joining. (#selenium)
[2013-12-15 11:27:11] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-15 11:30:43] DrJenkin_, quitting. (Read error: Operation timed out)
[2013-12-15 11:31:55] DrJenkins, joining. (#selenium)
[2013-12-15 11:36:06] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-15 11:36:32] DrJenkins, joining. (#selenium)
[2013-12-15 11:41:00] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-15 11:41:13] DrJenkins, joining. (#selenium)
[2013-12-15 11:45:41] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-15 11:45:53] DrJenkins, joining. (#selenium)
