[2013-12-25 03:12:40] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 03:12:59] DrJenkins, joining. (#selenium)
[2013-12-25 03:16:55] stan, joining. (#selenium)
[2013-12-25 03:17:38] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 03:17:40] DrJenkin_, joining. (#selenium)
[2013-12-25 03:22:15] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-25 03:22:22] ddary, leaving. (#selenium)
[2013-12-25 03:22:44] DrJenkins, joining. (#selenium)
[2013-12-25 03:26:39] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 03:27:24] DrJenkins, joining. (#selenium)
[2013-12-25 03:32:02] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 03:32:04] DrJenkin_, joining. (#selenium)
[2013-12-25 03:34:10] barancev|2, quitting. (Ping timeout: 245 seconds)
[2013-12-25 03:36:42] DrJenkins, joining. (#selenium)
[2013-12-25 03:36:50] DrJenkin_, quitting. (Ping timeout: 264 seconds)
[2013-12-25 03:40:45] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 03:40:59] barancev|2, joining. (#selenium)
[2013-12-25 03:41:23] DrJenkins, joining. (#selenium)
[2013-12-25 03:45:50] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 03:46:04] DrJenkins, joining. (#selenium)
[2013-12-25 03:49:15] richdownie, joining. (#selenium)
[2013-12-25 03:50:46] DrJenkin_, joining. (#selenium)
[2013-12-25 03:51:01] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 03:55:06] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-25 03:55:23] DrJenkins, joining. (#selenium)
[2013-12-25 03:58:10] tony1, joining. (#selenium)
[2013-12-25 03:59:33] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-25 04:00:09] DrJenkins, joining. (#selenium)
[2013-12-25 04:00:59] NBhosting, joining. (#selenium)
[2013-12-25 04:02:31] tony1, quitting. (Ping timeout: 246 seconds)
[2013-12-25 04:04:40] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-25 04:04:46] DrJenkins, joining. (#selenium)
[2013-12-25 04:05:55] jrgill, quitting. (Read error: Connection reset by peer)
[2013-12-25 04:09:11] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 04:09:27] DrJenkins, joining. (#selenium)
[2013-12-25 04:10:36] jrgill, joining. (#selenium)
[2013-12-25 04:13:59] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-25 04:14:08] DrJenkins, joining. (#selenium)
[2013-12-25 04:17:36] chisler, joining. (#selenium)
[2013-12-25 04:18:16] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 04:18:47] tbeadle_, quitting. (Quit: No Ping reply in 180 seconds.)
[2013-12-25 04:18:48] DrJenkins, joining. (#selenium)
[2013-12-25 04:19:11] tbeadle, joining. (#selenium)
[2013-12-25 04:20:29] michael_lee, joining. (#selenium)
[2013-12-25 04:23:16] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 04:23:22] DrJenkin_, joining. (#selenium)
[2013-12-25 04:27:49] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-25 04:28:03] DrJenkins, joining. (#selenium)
[2013-12-25 04:32:13] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 04:32:41] DrJenkins, joining. (#selenium)
[2013-12-25 04:33:51] chisler, quitting. (Quit: chisler)
[2013-12-25 04:37:23] DrJenkin_, joining. (#selenium)
[2013-12-25 04:37:24] DrJenkins, quitting. (Read error: Connection reset by peer)
