[2013-12-28 04:24:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 04:25:03] DrJenkins, joining. (#selenium)
[2013-12-28 04:26:54] mdolinin, quitting. (Ping timeout: 246 seconds)
[2013-12-28 04:29:10] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 04:29:43] DrJenkins, joining. (#selenium)
[2013-12-28 04:34:10] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 04:34:26] DrJenkins, joining. (#selenium)
[2013-12-28 04:35:25] simplex_, quitting. (Ping timeout: 272 seconds)
[2013-12-28 04:39:06] DrJenkin_, joining. (#selenium)
[2013-12-28 04:39:23] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 04:43:26] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-28 04:43:46] DrJenkins, joining. (#selenium)
[2013-12-28 04:48:13] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 04:48:22] DrJenkins, joining. (#selenium)
[2013-12-28 04:52:35] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 04:53:04] DrJenkins, joining. (#selenium)
[2013-12-28 04:57:10] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 04:58:13] DrJenkins, joining. (#selenium)
[2013-12-28 05:02:47] DrJenkin_, joining. (#selenium)
[2013-12-28 05:03:11] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 05:07:30] DrJenkins, joining. (#selenium)
[2013-12-28 05:07:37] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-28 05:12:03] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 05:12:06] DrJenkin_, joining. (#selenium)
[2013-12-28 05:16:23] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-28 05:16:49] DrJenkins, joining. (#selenium)
[2013-12-28 05:21:14] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 05:21:27] DrJenkins, joining. (#selenium)
[2013-12-28 05:25:49] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 05:26:10] DrJenkins, joining. (#selenium)
[2013-12-28 05:30:31] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-28 05:30:56] DrJenkins, joining. (#selenium)
[2013-12-28 05:32:53] jaywink, joining. (#selenium)
[2013-12-28 05:35:25] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 05:35:37] DrJenkins, joining. (#selenium)
[2013-12-28 05:39:06] llaskin, joining. (#selenium)
[2013-12-28 05:40:18] DrJenkin_, joining. (#selenium)
[2013-12-28 05:40:33] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 05:44:25] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-28 05:44:53] DrJenkins, joining. (#selenium)
[2013-12-28 05:49:18] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 05:49:33] DrJenkins, joining. (#selenium)
[2013-12-28 05:54:02] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 05:54:15] DrJenkins, joining. (#selenium)
[2013-12-28 05:58:36] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 05:59:19] DrJenkins, joining. (#selenium)
[2013-12-28 06:03:55] DrJenkin_, joining. (#selenium)
[2013-12-28 06:04:15] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 06:08:03] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-28 06:08:36] DrJenkins, joining. (#selenium)
[2013-12-28 06:13:16] DrJenkin_, joining. (#selenium)
[2013-12-28 06:13:17] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 06:14:21] richdownie, joining. (#selenium)
[2013-12-28 06:17:41] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-28 06:17:53] DrJenkins, joining. (#selenium)
[2013-12-28 06:19:06] michael_lee, quitting. (Quit: Ex-Chat)
[2013-12-28 06:20:27] michael_lee, joining. (#selenium)
[2013-12-28 06:21:37] pa, quitting. (Quit: Sto andando via)
[2013-12-28 06:22:19] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-28 06:22:41] DrJenkins, joining. (#selenium)
[2013-12-28 06:23:44] mdolinin, joining. (#selenium)
[2013-12-28 06:26:46] DrJenkins, quitting. (Read error: No buffer space available)
[2013-12-28 06:27:12] DrJenkins, joining. (#selenium)
[2013-12-28 06:27:55] mdolinin, quitting. (Ping timeout: 245 seconds)
[2013-12-28 06:31:38] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 06:31:55] DrJenkins, joining. (#selenium)
[2013-12-28 06:36:16] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 06:36:37] DrJenkins, joining. (#selenium)
[2013-12-28 06:38:35] pa, joining. (#selenium)
[2013-12-28 06:39:43] jaywink, quitting. (Ping timeout: 245 seconds)
[2013-12-28 06:41:04] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 06:41:14] DrJenkins, joining. (#selenium)
[2013-12-28 06:45:44] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 06:46:01] DrJenkins, joining. (#selenium)
[2013-12-28 06:50:24] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 06:50:50] DrJenkins, joining. (#selenium)
[2013-12-28 06:53:32] rk_, joining. (#selenium)
[2013-12-28 06:54:59] rk_: hi
[2013-12-28 06:55:41] DrJenkin_, joining. (#selenium)
[2013-12-28 06:55:56] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 06:57:40] rk_, quitting. (Client Quit)
[2013-12-28 07:00:13] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-28 07:00:20] DrJenkins, joining. (#selenium)
[2013-12-28 07:04:43] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 07:05:02] DrJenkins, joining. (#selenium)
[2013-12-28 07:09:23] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 07:09:40] DrJenkins, joining. (#selenium)
[2013-12-28 07:14:00] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 07:14:19] DrJenkins, joining. (#selenium)
[2013-12-28 07:19:00] DrJenkin_, joining. (#selenium)
[2013-12-28 07:19:22] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 07:23:28] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-28 07:23:41] DrJenkins, joining. (#selenium)
[2013-12-28 07:24:16] mdolinin, joining. (#selenium)
[2013-12-28 07:26:43] smccarthy, joining. (#selenium)
[2013-12-28 07:26:44] mdolinin, quitting. (Read error: No route to host)
[2013-12-28 07:27:08] mdolinin, joining. (#selenium)
[2013-12-28 07:27:14] llaskin, quitting. (Quit: Leaving.)
[2013-12-28 07:27:35] davidlai, joining. (#selenium)
[2013-12-28 07:28:10] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 07:28:23] DrJenkins, joining. (#selenium)
[2013-12-28 07:28:38] mdolinin, quitting. (Client Quit)
[2013-12-28 07:32:38] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 07:33:01] DrJenkins, joining. (#selenium)
[2013-12-28 07:37:28] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-28 07:37:43] DrJenkins, joining. (#selenium)
[2013-12-28 07:41:57] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 07:42:23] DrJenkins, joining. (#selenium)
[2013-12-28 07:46:45] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 07:47:03] DrJenkins, joining. (#selenium)
[2013-12-28 07:51:17] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 07:51:45] DrJenkins, joining. (#selenium)
[2013-12-28 07:56:24] DrJenkin_, joining. (#selenium)
[2013-12-28 07:56:44] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 08:00:33] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-28 08:00:58] DrJenkins, joining. (#selenium)
[2013-12-28 08:05:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 08:05:40] DrJenkins, joining. (#selenium)
[2013-12-28 08:10:19] DrJenkin_, joining. (#selenium)
[2013-12-28 08:10:39] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 08:15:02] DrJenkins, joining. (#selenium)
[2013-12-28 08:15:06] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-28 08:19:17] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 08:19:41] DrJenkins, joining. (#selenium)
[2013-12-28 08:20:39] plightbo_work, joining. (#selenium)
[2013-12-28 08:24:01] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 08:24:15] DrJenkins, joining. (#selenium)
[2013-12-28 08:28:47] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-28 08:28:55] DrJenkins, joining. (#selenium)
[2013-12-28 08:32:54] plightbo_work, quitting. (Remote host closed the connection)
[2013-12-28 08:33:20] plightbo_work, joining. (#selenium)
[2013-12-28 08:33:30] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 08:33:34] DrJenkin_, joining. (#selenium)
[2013-12-28 08:37:56] plightbo_work, quitting. (Ping timeout: 252 seconds)
[2013-12-28 08:38:07] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-28 08:38:14] DrJenkins, joining. (#selenium)
[2013-12-28 08:42:24] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 08:42:54] DrJenkins, joining. (#selenium)
[2013-12-28 08:46:31] richdownie, quitting. (Quit: richdownie)
[2013-12-28 08:47:07] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 08:47:38] DrJenkins, joining. (#selenium)
[2013-12-28 08:51:48] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 08:52:19] DrJenkins, joining. (#selenium)
[2013-12-28 08:55:20] OliverJAsh, quitting. (Ping timeout: 260 seconds)
[2013-12-28 08:56:34] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 08:56:56] DrJenkins, joining. (#selenium)
[2013-12-28 08:58:21] OliverJAsh, joining. (#selenium)
[2013-12-28 09:01:14] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 09:02:01] DrJenkins, joining. (#selenium)
[2013-12-28 09:06:21] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 09:06:48] DrJenkins, joining. (#selenium)
[2013-12-28 09:11:05] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 09:11:34] DrJenkins, joining. (#selenium)
[2013-12-28 09:15:41] DrJenkins, quitting. (Read error: No buffer space available)
[2013-12-28 09:16:06] DrJenkins, joining. (#selenium)
[2013-12-28 09:18:50] plightbo_work, joining. (#selenium)
[2013-12-28 09:20:37] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 09:20:48] DrJenkins, joining. (#selenium)
[2013-12-28 09:25:06] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 09:25:27] DrJenkins, joining. (#selenium)
[2013-12-28 09:28:05] richdownie, joining. (#selenium)
[2013-12-28 09:29:39] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 09:30:08] DrJenkins, joining. (#selenium)
[2013-12-28 09:34:35] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 09:34:50] DrJenkins, joining. (#selenium)
[2013-12-28 09:38:36] michael_lee, quitting. (Quit: Ex-Chat)
[2013-12-28 09:39:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 09:39:45] DrJenkins, joining. (#selenium)
[2013-12-28 09:43:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 09:44:06] DrJenkins, joining. (#selenium)
[2013-12-28 09:48:17] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 09:48:48] DrJenkins, joining. (#selenium)
[2013-12-28 09:52:58] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 09:53:30] DrJenkins, joining. (#selenium)
[2013-12-28 09:54:12] richdownie, quitting. (Quit: richdownie)
[2013-12-28 09:57:55] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 09:58:08] DrJenkins, joining. (#selenium)
[2013-12-28 09:59:10] plightbo_work, quitting. (Remote host closed the connection)
[2013-12-28 09:59:37] plightbo_work, joining. (#selenium)
[2013-12-28 10:02:38] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 10:02:45] DrJenkins, joining. (#selenium)
[2013-12-28 10:03:55] plightbo_work, quitting. (Ping timeout: 252 seconds)
[2013-12-28 10:07:00] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 10:07:26] DrJenkins, joining. (#selenium)
[2013-12-28 10:11:48] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 10:12:03] DrJenkins, joining. (#selenium)
[2013-12-28 10:16:22] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 10:16:47] DrJenkins, joining. (#selenium)
[2013-12-28 10:21:09] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 10:21:29] DrJenkins, joining. (#selenium)
[2013-12-28 10:21:59] stackedsax1, quitting. (Quit: Leaving.)
[2013-12-28 10:22:56] plightbo_work, joining. (#selenium)
[2013-12-28 10:25:44] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 10:26:17] DrJenkins, joining. (#selenium)
[2013-12-28 10:30:28] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 10:30:56] DrJenkins, joining. (#selenium)
[2013-12-28 10:35:24] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 10:35:39] DrJenkins, joining. (#selenium)
[2013-12-28 10:37:46] llaskin, joining. (#selenium)
[2013-12-28 10:38:18] stackedsax1, joining. (#selenium)
[2013-12-28 10:39:05] plightbo_work, quitting. (Remote host closed the connection)
[2013-12-28 10:39:33] plightbo_work, joining. (#selenium)
[2013-12-28 10:39:56] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 10:40:18] DrJenkins, joining. (#selenium)
[2013-12-28 10:42:21] llaskin, quitting. (Client Quit)
[2013-12-28 10:44:11] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-12-28 10:44:28] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 10:44:55] DrJenkins, joining. (#selenium)
[2013-12-28 10:49:10] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 10:49:44] DrJenkins, joining. (#selenium)
[2013-12-28 10:53:51] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 10:54:17] DrJenkins, joining. (#selenium)
[2013-12-28 10:58:39] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 10:58:52] DrJenkins, joining. (#selenium)
[2013-12-28 11:01:30] NBhosting, joining. (#selenium)
[2013-12-28 11:03:19] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 11:03:32] DrJenkins, joining. (#selenium)
[2013-12-28 11:07:38] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 11:08:14] DrJenkins, joining. (#selenium)
[2013-12-28 11:12:33] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 11:12:54] DrJenkins, joining. (#selenium)
[2013-12-28 11:13:36] jaywink, joining. (#selenium)
[2013-12-28 11:17:26] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 11:17:36] DrJenkins, joining. (#selenium)
[2013-12-28 11:19:37] bddy, joining. (#selenium)
[2013-12-28 11:20:30] bddy: Hi! I've installed selenium from pip and launched it and it worked. However, I haven't downloaded selenium server. How could it happen that it works without a server? That's pretty amazing
[2013-12-28 11:21:50] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 11:22:16] DrJenkins, joining. (#selenium)
[2013-12-28 11:26:33] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-28 11:26:54] DrJenkins, joining. (#selenium)
[2013-12-28 11:31:23] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 11:31:38] DrJenkins, joining. (#selenium)
[2013-12-28 11:36:16] DrJenkin_, joining. (#selenium)
[2013-12-28 11:36:30] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-28 11:37:35] tilgovi, joining. (#selenium)
[2013-12-28 11:40:33] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-28 11:40:59] DrJenkins, joining. (#selenium)
[2013-12-28 11:45:33] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 11:45:34] DrJenkin_, joining. (#selenium)
[2013-12-28 11:50:12] plightbo_work, joining. (#selenium)
[2013-12-28 11:50:18] DrJenkins, joining. (#selenium)
[2013-12-28 11:50:25] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-28 11:54:14] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-12-28 11:54:43] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 11:54:51] davidlai, quitting. (Quit: Leaving.)
[2013-12-28 11:54:56] DrJenkins, joining. (#selenium)
[2013-12-28 11:54:59] smccarthy2, joining. (#selenium)
[2013-12-28 11:57:24] smccarthy, quitting. (Ping timeout: 260 seconds)
[2013-12-28 11:59:10] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-28 11:59:39] DrJenkins, joining. (#selenium)
[2013-12-28 12:03:50] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-28 12:04:21] DrJenkins, joining. (#selenium)
[2013-12-28 12:07:55] Grant484, quitting. (Ping timeout: 245 seconds)
[2013-12-28 12:08:35] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-28 12:09:09] DrJenkins, joining. (#selenium)
[2013-12-28 12:13:35] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-28 12:13:49] DrJenkins, joining. (#selenium)
