[2013-12-30 04:04:43] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 04:05:13] DrJenkins, joining. (#selenium)
[2013-12-30 04:05:37] mreedell-work, joining. (#selenium)
[2013-12-30 04:05:48] ThePeach_, joining. (#selenium)
[2013-12-30 04:05:56] wrench_, joining. (#selenium)
[2013-12-30 04:06:16] tony1, joining. (#selenium)
[2013-12-30 04:06:47] wrench, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:06:48] Dude-X_, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:07:22] ThePeach, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:07:23] gaye, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:07:33] wrench_, changing nick to wrench.
[2013-12-30 04:07:47] gaye_, changing nick to gaye.
[2013-12-30 04:08:45] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-30 04:09:48] DrJenkins, joining. (#selenium)
[2013-12-30 04:10:37] tony1, quitting. (Ping timeout: 252 seconds)
[2013-12-30 04:14:30] DrJenkin_, joining. (#selenium)
[2013-12-30 04:14:50] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:18:49] DrJenkin_, quitting. (Ping timeout: 246 seconds)
[2013-12-30 04:18:53] plightbo_work, joining. (#selenium)
[2013-12-30 04:19:07] DrJenkins, joining. (#selenium)
[2013-12-30 04:20:14] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-12-30 04:23:03] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-12-30 04:23:47] DrJenkin_, joining. (#selenium)
[2013-12-30 04:24:03] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:28:03] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-30 04:28:28] DrJenkins, joining. (#selenium)
[2013-12-30 04:32:39] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 04:33:06] DrJenkins, joining. (#selenium)
[2013-12-30 04:34:04] simplex_, quitting. (Quit: Page closed)
[2013-12-30 04:37:49] DrJenkin_, joining. (#selenium)
[2013-12-30 04:37:53] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:42:24] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-30 04:42:27] DrJenkins, joining. (#selenium)
[2013-12-30 04:43:06] bimmelino1, quitting. (Read error: Connection reset by peer)
[2013-12-30 04:44:30] zeljkof, quitting. (Ping timeout: 245 seconds)
[2013-12-30 04:46:44] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 04:47:08] DrJenkins, joining. (#selenium)
[2013-12-30 04:51:47] DrJenkin_, joining. (#selenium)
[2013-12-30 04:51:55] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 04:56:10] DrJenkin_, quitting. (Ping timeout: 245 seconds)
[2013-12-30 04:56:29] DrJenkins, joining. (#selenium)
[2013-12-30 04:58:40] tony1, joining. (#selenium)
[2013-12-30 04:59:00] tony1, quitting. (Client Quit)
[2013-12-30 04:59:17] tony1, joining. (#selenium)
[2013-12-30 05:00:39] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 05:01:10] DrJenkins, joining. (#selenium)
[2013-12-30 05:03:39] zeljkof, joining. (#selenium)
[2013-12-30 05:05:21] richdownie, joining. (#selenium)
[2013-12-30 05:05:28] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 05:05:53] DrJenkins, joining. (#selenium)
[2013-12-30 05:09:14] richdownie, quitting. (Client Quit)
[2013-12-30 05:09:29] llaskin, quitting. (Quit: Leaving.)
[2013-12-30 05:09:56] richdownie, joining. (#selenium)
[2013-12-30 05:10:06] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 05:10:34] DrJenkins, joining. (#selenium)
[2013-12-30 05:14:46] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 05:15:13] DrJenkins, joining. (#selenium)
[2013-12-30 05:17:19] tony1, quitting. (Quit: Leaving.)
[2013-12-30 05:19:29] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 05:19:53] DrJenkins, joining. (#selenium)
[2013-12-30 05:20:42] tony1, joining. (#selenium)
[2013-12-30 05:23:12] zeljkof_, joining. (#selenium)
