[2013-06-30 12:36:24] davidlai, quitting. (Ping timeout: 276 seconds)
[2013-06-30 12:36:53] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 12:40:03] davidlai, joining. (#selenium)
[2013-06-30 12:41:56] ej, quitting. (Remote host closed the connection)
[2013-06-30 12:44:34] smccarthy, joining. (#selenium)
[2013-06-30 12:45:34] jimpurbrick1, quitting. (Quit: Leaving.)
[2013-06-30 12:47:17] pa, joining. (#selenium)
[2013-06-30 12:50:09] ShawnM, joining. (#selenium)
[2013-06-30 12:51:28] jimpurbrick, joining. (#selenium)
[2013-06-30 12:57:21] noahsussman, joining. (#selenium)
[2013-06-30 12:59:36] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 13:02:49] davidlai, quitting. (Ping timeout: 248 seconds)
[2013-06-30 13:05:36] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 13:07:48] tobie, joining. (#selenium)
[2013-06-30 13:09:05] silne30, quitting. (Quit: Konversation terminated!)
[2013-06-30 13:09:15] silne30, joining. (#selenium)
[2013-06-30 13:13:50] silne30, quitting. (Ping timeout: 252 seconds)
[2013-06-30 13:19:06] gittish, joining. (#selenium)
[2013-06-30 13:19:34] jibay, joining. (#selenium)
[2013-06-30 13:26:12] gittish, quitting. (Quit: gittish)
[2013-06-30 13:27:49] ShawnM, joining. (#selenium)
[2013-06-30 13:38:01] FullTiltProspect, quitting. (Ping timeout: 248 seconds)
[2013-06-30 13:41:01] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 13:41:40] ryanpetrello, joining. (#selenium)
[2013-06-30 13:46:19] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-30 13:47:24] o3u, quitting. (Ping timeout: 268 seconds)
[2013-06-30 13:48:06] ryanpetrello, joining. (#selenium)
[2013-06-30 13:48:34] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-30 13:52:45] ej, joining. (#selenium)
[2013-06-30 13:57:46] ej, quitting. (Ping timeout: 246 seconds)
[2013-06-30 14:02:41] noahsussman, joining. (#selenium)
[2013-06-30 14:09:38] ryanpetrello, joining. (#selenium)
[2013-06-30 14:10:51] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 14:11:04] silne30, joining. (#selenium)
[2013-06-30 14:11:14] gittish, joining. (#selenium)
[2013-06-30 14:11:48] silne30, quitting. (Client Quit)
[2013-06-30 14:12:09] silne30, joining. (#selenium)
