[2013-06-08 18:46:39] Turzai, joining. (#selenium)
[2013-06-08 18:58:04] admc, joining. (#selenium)
[2013-06-08 19:01:23] ShawnM, joining. (#selenium)
[2013-06-08 19:02:14] nirvdrum, joining. (#selenium)
[2013-06-08 19:02:24] admc, quitting. (Ping timeout: 240 seconds)
[2013-06-08 19:10:08] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-06-08 19:11:26] buu, joining. (#selenium)
[2013-06-08 19:11:32] buu, leaving. (#selenium)
[2013-06-08 19:14:58] SamuraiJack, joining. (#selenium)
[2013-06-08 19:15:01] naids, joining. (#selenium)
[2013-06-08 19:15:08] naids, leaving. (#selenium)
[2013-06-08 19:26:29] ryanpetrello, joining. (#selenium)
[2013-06-08 19:35:52] ShawnM, joining. (#selenium)
[2013-06-08 19:44:20] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-06-08 19:48:02] FullTiltProspect, quitting. (Ping timeout: 248 seconds)
[2013-06-08 19:48:35] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-08 19:54:22] kurtsbees, joining. (#selenium)
[2013-06-08 19:58:35] admc, joining. (#selenium)
[2013-06-08 20:03:47] admc, quitting. (Ping timeout: 276 seconds)
[2013-06-08 20:10:50] ShawnM, joining. (#selenium)
[2013-06-08 20:11:56] p0deje, joining. (#selenium)
[2013-06-08 20:18:54] ShawnM, quitting. (Ping timeout: 240 seconds)
[2013-06-08 20:24:05] admc, joining. (#selenium)
[2013-06-08 20:29:29] admc, quitting. (Quit: Leaving.)
[2013-06-08 20:32:30] p0deje, quitting. (Quit: p0deje)
[2013-06-08 20:39:07] ryanpetrello, joining. (#selenium)
[2013-06-08 20:45:55] ShawnM, joining. (#selenium)
[2013-06-08 20:53:54] ShawnM, quitting. (Ping timeout: 240 seconds)
[2013-06-08 21:01:23] foundatron, joining. (#selenium)
[2013-06-08 21:01:23] foundatron, quitting. (Changing host)
[2013-06-08 21:01:23] foundatron, joining. (#selenium)
[2013-06-08 21:11:46] foundatron, quitting. (Ping timeout: 248 seconds)
[2013-06-08 21:20:55] ShawnM, joining. (#selenium)
[2013-06-08 21:27:56] admc, joining. (#selenium)
[2013-06-08 21:28:54] ShawnM, quitting. (Ping timeout: 240 seconds)
[2013-06-08 21:32:31] admc, quitting. (Ping timeout: 264 seconds)
[2013-06-08 21:55:08] nirvdrum, quitting. (Ping timeout: 264 seconds)
[2013-06-08 21:56:05] ShawnM, joining. (#selenium)
[2013-06-08 21:57:07] Todd, quitting. (Ping timeout: 264 seconds)
[2013-06-08 21:58:20] Todd, joining. (#selenium)
[2013-06-08 22:04:44] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-06-08 22:25:47] SamuraiJack, quitting. (Read error: Operation timed out)
[2013-06-08 22:28:27] admc, joining. (#selenium)
[2013-06-08 22:30:36] ShawnM, joining. (#selenium)
[2013-06-08 22:30:41] testingb0t, joining. (#selenium)
[2013-06-08 22:32:53] admc, quitting. (Ping timeout: 245 seconds)
[2013-06-08 22:33:05] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-08 22:41:36] karan86, joining. (#selenium)
[2013-06-08 22:58:54] admc, joining. (#selenium)
[2013-06-08 23:03:18] admc, quitting. (Ping timeout: 245 seconds)
[2013-06-08 23:32:32] testingb0t, quitting. (Quit: Leaving.)
[2013-06-08 23:36:25] admc, joining. (#selenium)
[2013-06-08 23:45:33] admc, quitting. (Quit: Leaving.)
[2013-06-08 23:45:35] ej, joining. (#selenium)
