[2013-06-09 00:07:52] kurtsbees, quitting. (Read error: Connection reset by peer)
[2013-06-09 03:52:55] admc, joining. (#selenium)
[2013-06-09 03:54:40] p0deje, joining. (#selenium)
[2013-06-09 03:57:03] admc, quitting. (Ping timeout: 246 seconds)
[2013-06-09 04:12:55] Selenium-Git, joining. (#selenium)
[2013-06-09 04:12:55] Selenium-Git: [13selenium] 15jayakumarc opened pull request #86: [CrazyFun] Fixing the issues when running python test targets on Windows (06master...06patch-20)  02http://git.io/oGSeFA
[2013-06-09 04:12:55] Selenium-Git, leaving. (#selenium)
[2013-06-09 04:20:55] ej, joining. (#selenium)
[2013-06-09 04:24:08] o3u, quitting. (Ping timeout: 245 seconds)
[2013-06-09 04:25:44] ej, quitting. (Ping timeout: 264 seconds)
[2013-06-09 04:51:09] p0deje, quitting. (Quit: p0deje)
[2013-06-09 04:52:41] p0deje, joining. (#selenium)
[2013-06-09 04:53:36] admc, joining. (#selenium)
[2013-06-09 04:58:09] admc, quitting. (Ping timeout: 255 seconds)
[2013-06-09 05:04:56] p0deje, quitting. (Quit: p0deje)
[2013-06-09 05:21:24] ej, joining. (#selenium)
[2013-06-09 05:24:21] admc, joining. (#selenium)
[2013-06-09 05:26:20] ej, quitting. (Ping timeout: 264 seconds)
[2013-06-09 05:28:50] admc, quitting. (Ping timeout: 248 seconds)
[2013-06-09 05:30:54] ej, joining. (#selenium)
[2013-06-09 05:39:14] p0deje, joining. (#selenium)
[2013-06-09 05:53:42] p0deje, quitting. (Quit: p0deje)
[2013-06-09 05:55:13] admc, joining. (#selenium)
[2013-06-09 05:59:33] admc, quitting. (Ping timeout: 246 seconds)
[2013-06-09 06:14:43] riv, joining. (#selenium)
[2013-06-09 06:21:51] riv, quitting. (Remote host closed the connection)
[2013-06-09 06:26:01] admc, joining. (#selenium)
[2013-06-09 06:31:02] admc, quitting. (Ping timeout: 276 seconds)
[2013-06-09 06:52:26] riotz, quitting. (Changing host)
[2013-06-09 06:52:26] riotz, joining. (#selenium)
[2013-06-09 06:56:54] admc, joining. (#selenium)
[2013-06-09 07:01:16] admc, quitting. (Ping timeout: 252 seconds)
[2013-06-09 07:01:33] Ravindra, joining. (#selenium)
[2013-06-09 07:04:57] Ravindra, quitting. (Changing host)
[2013-06-09 07:04:58] Ravindra, joining. (#selenium)
[2013-06-09 07:21:13] ej, quitting. (Read error: Connection reset by peer)
[2013-06-09 07:21:49] ej, joining. (#selenium)
[2013-06-09 07:27:46] admc, joining. (#selenium)
[2013-06-09 07:32:04] admc, quitting. (Ping timeout: 252 seconds)
[2013-06-09 07:34:15] manoj9788, joining. (#selenium)
[2013-06-09 07:35:38] nirvdrum, joining. (#selenium)
[2013-06-09 07:56:06] Dude-X_, quitting. (Quit: Leaving)
[2013-06-09 07:56:52] Dude-X_, joining. (#selenium)
[2013-06-09 07:58:31] admc, joining. (#selenium)
[2013-06-09 07:59:33] brockfredin, quitting. (Ping timeout: 245 seconds)
[2013-06-09 08:02:39] admc, quitting. (Ping timeout: 245 seconds)
[2013-06-09 08:06:07] Dude-X_, quitting. (Ping timeout: 264 seconds)
[2013-06-09 08:14:50] dimacus, joining. (#selenium)
[2013-06-09 08:16:49] Dude-X_, joining. (#selenium)
[2013-06-09 08:19:22] dimacus, quitting. (Ping timeout: 252 seconds)
[2013-06-09 08:29:19] admc, joining. (#selenium)
[2013-06-09 08:30:05] lukeis, joining. (#selenium)
[2013-06-09 08:32:23] lukeis, quitting. (Client Quit)
[2013-06-09 08:33:42] admc, quitting. (Ping timeout: 255 seconds)
