[2013-06-02 13:37:56] ShawnM, joining. (#selenium)
[2013-06-02 13:42:13] ShawnM, quitting. (Ping timeout: 248 seconds)
[2013-06-02 13:43:04] kallisti, quitting. (Ping timeout: 276 seconds)
[2013-06-02 13:44:25] kallisti, joining. (#selenium)
[2013-06-02 13:44:25] kallisti, quitting. (Changing host)
[2013-06-02 13:44:25] kallisti, joining. (#selenium)
[2013-06-02 13:46:34] Gx4, quitting. (Quit: Išeinu)
[2013-06-02 13:47:36] Swadq, joining. (#selenium)
[2013-06-02 14:22:13] riv_, quitting. (Remote host closed the connection)
[2013-06-02 14:26:05] Dude-X, joining. (#selenium)
[2013-06-02 14:30:52] Turzai, joining. (#selenium)
[2013-06-02 14:56:18] riv_, joining. (#selenium)
[2013-06-02 15:05:53] Swadq, quitting. (Ping timeout: 246 seconds)
[2013-06-02 15:17:56] ryanpetrello, joining. (#selenium)
[2013-06-02 15:29:14] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-02 15:41:21] zac_sel, quitting. (Quit: Leaving)
[2013-06-02 16:44:14] phishy, joining. (#selenium)
[2013-06-02 16:56:39] phishy, quitting. (Ping timeout: 252 seconds)
[2013-06-02 17:00:10] phishy, joining. (#selenium)
[2013-06-02 17:03:43] riv_, quitting. (Remote host closed the connection)
[2013-06-02 17:10:21] riv_, joining. (#selenium)
[2013-06-02 17:19:13] ryanpetrello, joining. (#selenium)
[2013-06-02 17:23:12] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-02 17:32:13] FullTiltProspect, quitting. (Ping timeout: 245 seconds)
[2013-06-02 17:34:44] Dude-X, quitting. (Quit: Dude-X)
[2013-06-02 17:39:04] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-02 17:52:02] stephend, joining. (#selenium)
[2013-06-02 17:52:35] Turzai, quitting. (Ping timeout: 256 seconds)
[2013-06-02 17:54:38] stephend_, quitting. (Ping timeout: 240 seconds)
[2013-06-02 17:56:01] stephend, quitting. (Ping timeout: 240 seconds)
[2013-06-02 18:08:20] riv_, quitting. (Remote host closed the connection)
[2013-06-02 18:17:54] ryanpetrello, joining. (#selenium)
[2013-06-02 18:27:13] stephend, joining. (#selenium)
[2013-06-02 18:28:02] stephend, quitting. (Remote host closed the connection)
[2013-06-02 18:33:32] riv_, joining. (#selenium)
[2013-06-02 18:49:46] riv_, quitting. (Remote host closed the connection)
[2013-06-02 19:00:49] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-02 19:03:16] ryanpetrello, joining. (#selenium)
[2013-06-02 19:12:56] stephend, joining. (#selenium)
[2013-06-02 19:17:05] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-02 19:18:21] smccarthy, joining. (#selenium)
[2013-06-02 19:52:14] p0deje, joining. (#selenium)
[2013-06-02 20:04:10] ShawnM, joining. (#selenium)
