[2013-06-23 10:52:42] plightbo_work, joining. (#selenium)
[2013-06-23 10:54:39] SamuraiJack, quitting. (Ping timeout: 246 seconds)
[2013-06-23 10:59:37] tobie, quitting. (Quit: tobie)
[2013-06-23 11:03:30] ShawnM, joining. (#selenium)
[2013-06-23 11:04:31] plightbo_work, quitting. (Ping timeout: 276 seconds)
[2013-06-23 11:04:52] Oscar1, joining. (#selenium)
[2013-06-23 11:06:47] Oscar, quitting. (Ping timeout: 255 seconds)
[2013-06-23 11:15:39] jimpurbrick, joining. (#selenium)
[2013-06-23 11:19:51] jimpurbrick, quitting. (Ping timeout: 246 seconds)
[2013-06-23 11:24:32] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-23 11:26:15] Dude-X, joining. (#selenium)
[2013-06-23 11:30:34] plightbo_work, joining. (#selenium)
[2013-06-23 11:37:40] plightbo_work, quitting. (Ping timeout: 276 seconds)
[2013-06-23 11:40:47] Dude-X, quitting. (Quit: Dude-X)
[2013-06-23 11:42:29] cpt_jack, quitting. (Ping timeout: 240 seconds)
[2013-06-23 11:44:33] Dude-X, joining. (#selenium)
[2013-06-23 11:44:44] ShawnM, quitting. (Remote host closed the connection)
[2013-06-23 12:01:11] gittish, quitting. (Quit: gittish)
[2013-06-23 12:01:45] phishy, joining. (#selenium)
[2013-06-23 12:03:22] plightbo_work, joining. (#selenium)
[2013-06-23 12:06:17] Swadq, joining. (#selenium)
[2013-06-23 12:08:29] plightbo_work, quitting. (Ping timeout: 240 seconds)
[2013-06-23 12:12:00] Dude-X, quitting. (Quit: Dude-X)
[2013-06-23 12:12:32] Dude-X, joining. (#selenium)
[2013-06-23 12:13:47] cpt_jack, joining. (#selenium)
[2013-06-23 12:15:00] plightbo_work, joining. (#selenium)
[2013-06-23 12:15:15] llaskin, joining. (#selenium)
[2013-06-23 12:16:08] jimpurbrick, joining. (#selenium)
[2013-06-23 12:17:23] tobie, joining. (#selenium)
[2013-06-23 12:18:12] plightb__, joining. (#selenium)
[2013-06-23 12:20:46] jimpurbrick, quitting. (Ping timeout: 256 seconds)
[2013-06-23 12:21:10] plight___, joining. (#selenium)
[2013-06-23 12:21:29] plightbo_work, quitting. (Ping timeout: 255 seconds)
[2013-06-23 12:23:49] plightb__, quitting. (Ping timeout: 276 seconds)
[2013-06-23 12:28:26] plight___, quitting. (Ping timeout: 256 seconds)
[2013-06-23 12:28:49] plightbo_work, joining. (#selenium)
[2013-06-23 12:29:34] diminoten, quitting. (Ping timeout: 260 seconds)
[2013-06-23 12:30:09] adamgoucher, quitting. (Quit: adamgoucher)
[2013-06-23 12:32:59] zx29b_away, quitting. (Ping timeout: 245 seconds)
[2013-06-23 12:33:20] plightbo_work, quitting. (Ping timeout: 268 seconds)
[2013-06-23 12:34:09] ShawnM, joining. (#selenium)
[2013-06-23 12:35:12] plightbo_work, joining. (#selenium)
[2013-06-23 12:36:41] ShawnM, quitting. (Remote host closed the connection)
[2013-06-23 12:38:17] plightb__, joining. (#selenium)
[2013-06-23 12:40:22] ShawnM, joining. (#selenium)
[2013-06-23 12:40:30] ShawnM, quitting. (Read error: Connection reset by peer)
[2013-06-23 12:40:44] plightbo_work, quitting. (Ping timeout: 268 seconds)
[2013-06-23 12:41:21] Todd, quitting. (Ping timeout: 268 seconds)
[2013-06-23 12:41:34] zx29b, joining. (#selenium)
[2013-06-23 12:41:34] selbot2: zx29b: note from lukeis 2 days ago: ping :)
[2013-06-23 12:42:47] Todd, joining. (#selenium)
[2013-06-23 12:42:51] fasta_, changing nick to fasta.
[2013-06-23 12:43:12] plightb__, quitting. (Ping timeout: 268 seconds)
[2013-06-23 12:43:19] diminoten, joining. (#selenium)
[2013-06-23 12:46:25] Swadq, quitting. (Quit: Bai everyone)
[2013-06-23 12:59:31] llaskin, quitting. (Quit: Leaving.)
[2013-06-23 13:03:55] plightbo_work, joining. (#selenium)
[2013-06-23 13:07:02] stackedsax1, joining. (#selenium)
[2013-06-23 13:08:20] stackedsax2, joining. (#selenium)
[2013-06-23 13:08:49] testingb0t, quitting. (Quit: Leaving.)
[2013-06-23 13:11:46] stackedsax1, quitting. (Ping timeout: 256 seconds)
[2013-06-23 13:16:41] jimpurbrick, joining. (#selenium)
[2013-06-23 13:21:40] jimpurbrick, quitting. (Ping timeout: 276 seconds)
[2013-06-23 13:22:28] admc, joining. (#selenium)
[2013-06-23 13:22:37] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-23 13:24:27] phishy, joining. (#selenium)
[2013-06-23 13:29:12] phishy, quitting. (Client Quit)
[2013-06-23 13:33:23] plightb__, joining. (#selenium)
[2013-06-23 13:33:47] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-06-23 13:36:56] plightb__, quitting. (Remote host closed the connection)
[2013-06-23 13:37:24] plightbo_work, joining. (#selenium)
[2013-06-23 13:37:31] tourdedave, quitting. (Quit: tourdedave)
[2013-06-23 13:42:28] plightbo_work, quitting. (Ping timeout: 276 seconds)
[2013-06-23 13:51:53] Wessix, quitting. (Quit: Nettalk6 - www.ntalk.de)
