[2013-06-01 15:32:30] ej, joining. (#selenium)
[2013-06-01 15:37:15] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 15:40:06] awilson820, joining. (#selenium)
[2013-06-01 15:42:22] riv_, quitting. (Remote host closed the connection)
[2013-06-01 15:43:27] phishy, joining. (#selenium)
[2013-06-01 15:45:51] Gx4, quitting. (Ping timeout: 240 seconds)
[2013-06-01 15:48:50] zeljkof, quitting. (Quit: zeljkof)
[2013-06-01 15:49:34] ej, joining. (#selenium)
[2013-06-01 15:51:37] ej, quitting. (Read error: Connection reset by peer)
[2013-06-01 15:51:49] ej, joining. (#selenium)
[2013-06-01 15:55:29] awilson820, quitting. (Read error: Connection reset by peer)
[2013-06-01 15:58:59] riv_, joining. (#selenium)
[2013-06-01 16:06:25] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-01 16:09:25] ej, quitting. (Remote host closed the connection)
[2013-06-01 16:13:28] bfife, quitting. (Ping timeout: 245 seconds)
[2013-06-01 16:15:29] riv_, quitting. (Remote host closed the connection)
[2013-06-01 16:20:50] phishy, joining. (#selenium)
[2013-06-01 16:27:15] admc, quitting. (Quit: Leaving.)
[2013-06-01 16:28:21] bfife, joining. (#selenium)
[2013-06-01 16:30:38] xr63, joining. (#selenium)
[2013-06-01 16:30:53] xr63, leaving. (#selenium)
[2013-06-01 16:35:21] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-01 16:57:24] admc, joining. (#selenium)
[2013-06-01 17:06:32] admc, quitting. (Ping timeout: 260 seconds)
[2013-06-01 17:09:56] ej, joining. (#selenium)
[2013-06-01 17:14:43] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 17:16:23] Turzai, quitting. (Ping timeout: 245 seconds)
[2013-06-01 17:20:03] ej, joining. (#selenium)
[2013-06-01 17:20:25] brockfredin2, joining. (#selenium)
[2013-06-01 17:20:39] brockfredin2: Tickets are sold out.  Is it possible to pay for a ticket and get in to the conf?
[2013-06-01 17:20:50] brockfredin2: I took the week off work.
[2013-06-01 17:24:22] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 17:32:56] farlan1, joining. (#selenium)
[2013-06-01 17:33:04] tinygeo, joining. (#selenium)
[2013-06-01 17:42:09] riv_, joining. (#selenium)
[2013-06-01 17:45:04] ryanpetrello, joining. (#selenium)
[2013-06-01 17:49:43] dimacus, joining. (#selenium)
[2013-06-01 17:51:34] zac_sel, quitting. (Read error: Connection reset by peer)
[2013-06-01 17:57:55] admc, joining. (#selenium)
[2013-06-01 18:02:31] admc, quitting. (Ping timeout: 260 seconds)
[2013-06-01 18:12:21] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-01 18:13:29] ShawnM, quitting. (Remote host closed the connection)
[2013-06-01 18:14:57] ryanpetrello, joining. (#selenium)
[2013-06-01 18:58:28] admc, joining. (#selenium)
[2013-06-01 19:03:11] admc, quitting. (Ping timeout: 260 seconds)
[2013-06-01 19:08:13] dimacus, quitting. (Quit: Leaving.)
[2013-06-01 19:13:43] dimacus, joining. (#selenium)
[2013-06-01 19:17:19] riv_, quitting. (Remote host closed the connection)
[2013-06-01 19:17:23] dimacus, quitting. (Client Quit)
[2013-06-01 19:20:20] ej, joining. (#selenium)
[2013-06-01 19:24:05] ShawnM, joining. (#selenium)
[2013-06-01 19:25:04] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 19:27:47] Turzai, joining. (#selenium)
[2013-06-01 19:28:15] riv_, joining. (#selenium)
[2013-06-01 19:28:24] ShawnM, quitting. (Ping timeout: 245 seconds)
[2013-06-01 19:28:55] admc, joining. (#selenium)
[2013-06-01 19:30:34] ej, joining. (#selenium)
[2013-06-01 19:33:31] admc, quitting. (Ping timeout: 260 seconds)
[2013-06-01 19:35:15] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 19:38:54] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-01 19:49:44] ShawnM, joining. (#selenium)
[2013-06-01 19:57:46] ryanpetrello, joining. (#selenium)
[2013-06-01 20:28:58] nirvdrum, joining. (#selenium)
[2013-06-01 20:29:22] admc, joining. (#selenium)
[2013-06-01 20:33:34] admc, quitting. (Ping timeout: 246 seconds)
[2013-06-01 20:35:17] jualam, joining. (#selenium)
[2013-06-01 20:59:47] admc, joining. (#selenium)
[2013-06-01 20:59:54] tinygeo, quitting. (Quit: Leaving.)
[2013-06-01 21:01:14] brockfredin2, quitting. (Quit: Page closed)
[2013-06-01 21:01:30] riv_, quitting. (Remote host closed the connection)
[2013-06-01 21:04:31] admc, quitting. (Ping timeout: 260 seconds)
[2013-06-01 21:26:15] krosenvold____, quitting. (Quit: Connection closed for inactivity)
[2013-06-01 21:30:49] ej, joining. (#selenium)
[2013-06-01 21:31:35] Dude-X, quitting. (Quit: Dude-X)
[2013-06-01 21:33:34] ShawnM, quitting. (Remote host closed the connection)
[2013-06-01 21:35:23] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 21:36:33] nirvdrum, quitting. (Ping timeout: 252 seconds)
[2013-06-01 21:41:06] ej, joining. (#selenium)
[2013-06-01 21:45:21] ej, quitting. (Ping timeout: 248 seconds)
[2013-06-01 22:00:40] admc, joining. (#selenium)
[2013-06-01 22:05:19] admc, quitting. (Ping timeout: 264 seconds)
[2013-06-01 22:09:36] ShawnM, joining. (#selenium)
[2013-06-01 22:22:28] Archdude_, joining. (#selenium)
[2013-06-01 22:22:51] phishy, joining. (#selenium)
[2013-06-01 22:24:05] tinygeo, joining. (#selenium)
[2013-06-01 22:24:12] tinygeo, leaving. (#selenium)
[2013-06-01 22:24:41] Archdude, quitting. (Ping timeout: 252 seconds)
[2013-06-01 22:24:41] Archdude_, changing nick to Archdude.
[2013-06-01 22:42:10] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-01 22:44:51] smccarthy, joining. (#selenium)
[2013-06-01 22:47:57] p0deje, joining. (#selenium)
[2013-06-01 23:01:02] admc, joining. (#selenium)
[2013-06-01 23:05:16] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-06-01 23:05:43] smccarthy, joining. (#selenium)
[2013-06-01 23:05:55] admc, quitting. (Ping timeout: 264 seconds)
[2013-06-01 23:10:04] txwikinger, quitting. (*.net *.split)
[2013-06-01 23:10:07] mika, quitting. (*.net *.split)
[2013-06-01 23:10:08] ztane, quitting. (*.net *.split)
[2013-06-01 23:10:09] diminoten, quitting. (*.net *.split)
[2013-06-01 23:10:09] andreastt, quitting. (*.net *.split)
[2013-06-01 23:10:11] Quadlex, quitting. (*.net *.split)
[2013-06-01 23:13:18] andreastt, joining. (#selenium)
[2013-06-01 23:13:32] ztane, joining. (#selenium)
[2013-06-01 23:16:58] diminoten, joining. (#selenium)
[2013-06-01 23:17:25] txwikinger, joining. (#selenium)
[2013-06-01 23:17:25] txwikinger, quitting. (Changing host)
[2013-06-01 23:17:25] txwikinger, joining. (#selenium)
[2013-06-01 23:21:11] mika, joining. (#selenium)
[2013-06-01 23:21:11] Quadlex, joining. (#selenium)
[2013-06-01 23:23:07] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-06-01 23:23:43] smccarthy, joining. (#selenium)
[2013-06-01 23:28:03] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-06-01 23:29:04] smccarthy, joining. (#selenium)
[2013-06-01 23:30:43] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-06-01 23:31:09] smccarthy, joining. (#selenium)
[2013-06-01 23:35:58] smccarthy, quitting. (Read error: Connection reset by peer)
[2013-06-01 23:36:24] mika, quitting. (*.net *.split)
[2013-06-01 23:36:24] Quadlex, quitting. (*.net *.split)
[2013-06-01 23:38:28] admc, joining. (#selenium)
[2013-06-01 23:41:36] ej, joining. (#selenium)
[2013-06-01 23:46:00] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 23:49:17] mika, joining. (#selenium)
[2013-06-01 23:49:17] Quadlex, joining. (#selenium)
[2013-06-01 23:51:34] ej, joining. (#selenium)
[2013-06-01 23:56:12] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-01 23:56:40] ryanpetrello, quitting. (Remote host closed the connection)
