[2015-09-05 10:39:11] oida, quitting. (Ping timeout: 264 seconds)
[2015-09-05 10:41:15] oida, joining. (#selenium)
[2015-09-05 11:06:45] tiagoboldt, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 11:13:19] tiagoboldt, joining. (#selenium)
[2015-09-05 11:22:00] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-09-05 11:26:34] Ardesco, joining. (#selenium)
[2015-09-05 11:39:32] tiagoboldt, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-05 11:46:52] rorycb, joining. (#selenium)
[2015-09-05 11:51:13] ET1, joining. (#selenium)
[2015-09-05 11:51:18] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-09-05 12:10:14] clarkenciel, joining. (#selenium)
[2015-09-05 12:38:12] farlan, quitting. (Ping timeout: 264 seconds)
[2015-09-05 12:55:44] Ardesco, quitting. (Quit: Ardesco)
[2015-09-05 13:17:48] michl68, quitting. (Ping timeout: 255 seconds)
[2015-09-05 13:30:06] smccarthy, quitting. (Quit: Leaving...)
[2015-09-05 13:37:52] ET1, quitting. (Quit: Leaving.)
[2015-09-05 13:49:17] merike, changing nick to merike|away.
[2015-09-05 13:56:12] swamix, quitting. (Ping timeout: 268 seconds)
[2015-09-05 13:58:14] swamix, joining. (#selenium)
[2015-09-05 14:03:02] ET1, joining. (#selenium)
[2015-09-05 14:14:30] ET1, quitting. (Quit: Leaving.)
[2015-09-05 14:43:11] Ardesco, joining. (#selenium)
[2015-09-05 14:55:18] Ardesco, quitting. (Quit: Ardesco)
[2015-09-05 15:04:34] sjLonghorn, quitting. (Ping timeout: 244 seconds)
[2015-09-05 15:05:49] sjLonghorn, joining. (#selenium)
[2015-09-05 15:07:23] Padawan, joining. (#selenium)
[2015-09-05 15:11:39] Danjo1, quitting. (Ping timeout: 255 seconds)
[2015-09-05 15:19:28] oida, quitting. (Ping timeout: 252 seconds)
[2015-09-05 15:22:34] oida, joining. (#selenium)
[2015-09-05 15:27:40] swamix: help
[2015-09-05 15:27:48] swamix: no output from my program
[2015-09-05 15:43:57] ET1, joining. (#selenium)
[2015-09-05 15:48:17] rorycb, joining. (#selenium)
[2015-09-05 15:52:35] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-09-05 15:53:26] swamix, quitting. (Ping timeout: 265 seconds)
[2015-09-05 16:34:38] swamix, joining. (#selenium)
[2015-09-05 16:41:36] swamix, quitting. (Ping timeout: 252 seconds)
[2015-09-05 16:43:59] swamix, joining. (#selenium)
[2015-09-05 17:07:11] stongo1, quitting. (Quit: Leaving.)
[2015-09-05 17:10:29] stongo, joining. (#selenium)
[2015-09-05 17:25:21] ET1, quitting. (Quit: Leaving.)
[2015-09-05 17:37:57] ET1, joining. (#selenium)
[2015-09-05 17:43:13] ET1, quitting. (Quit: Leaving.)
[2015-09-05 17:50:38] stongo, quitting. (Quit: Leaving.)
[2015-09-05 17:59:19] Nizumzen, joining. (#selenium)
[2015-09-05 17:59:28] ET1, joining. (#selenium)
[2015-09-05 18:05:29] ET1, quitting. (Quit: Leaving.)
[2015-09-05 18:11:42] WhereIsMySpoon, joining. (#selenium)
[2015-09-05 18:14:57] lvanderpool, joining. (#selenium)
[2015-09-05 18:15:03] lvanderpool, changing nick to mekhami.
[2015-09-05 18:24:32] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-09-05 18:34:28] Alchemy, quitting. (Read error: Connection reset by peer)
[2015-09-05 18:35:27] Alchemy, joining. (#selenium)
[2015-09-05 18:37:40] stongo, joining. (#selenium)
[2015-09-05 18:44:14] WhereIsMySpoon, quitting. (Quit: http://www.kiwiirc.com/ - A hand crafted IRC client)
[2015-09-05 18:55:57] Paul__, joining. (#selenium)
[2015-09-05 18:58:05] smccarthy, joining. (#selenium)
[2015-09-05 18:59:48] Alchemy, quitting. (Ping timeout: 264 seconds)
[2015-09-05 19:10:17] ET1, joining. (#selenium)
[2015-09-05 19:13:53] stongo, quitting. (Quit: Leaving.)
[2015-09-05 19:15:16] smccarthy, quitting. (Remote host closed the connection)
[2015-09-05 19:19:13] stongo, joining. (#selenium)
[2015-09-05 19:54:12] ET1, quitting. (Quit: Leaving.)
[2015-09-05 19:57:10] Paul__, changing nick to daemon.
[2015-09-05 20:06:59] Selenium-Github: [13selenium] 15vveliev closed pull request #1006: added Microsoft edge, and another way to pass in driver location for WebDriver (06master...06patch-3) 02http://git.io/vGNBs
[2015-09-05 20:07:29] Selenium-Github: [13selenium] 15vveliev closed pull request #1007: added Microsoft edge, and another way to pass in driver location (06master...06patch-2) 02http://git.io/vGNBB
[2015-09-05 20:11:33] clarkenciel, quitting. (Remote host closed the connection)
[2015-09-05 20:18:18] lvanderpool, joining. (#selenium)
[2015-09-05 20:20:04] smccarthy, joining. (#selenium)
[2015-09-05 20:24:54] nikgod, quitting. (Ping timeout: 244 seconds)
[2015-09-05 20:29:37] nikgod, joining. (#selenium)
[2015-09-05 20:39:33] ET1, joining. (#selenium)
[2015-09-05 20:43:42] clarkenciel, joining. (#selenium)
[2015-09-05 20:59:23] korg, joining. (#selenium)
