[2015-07-12 23:21:37] farlan, quitting. (Ping timeout: 256 seconds)
[2015-07-12 23:22:03] fabrice31, quitting. (Ping timeout: 246 seconds)
[2015-07-12 23:22:18] SitamJana, joining. (#selenium)
[2015-07-12 23:26:06] dude-x, quitting. (Remote host closed the connection)
[2015-07-12 23:26:37] Rollup, quitting. (Quit: Leaving.)
[2015-07-12 23:29:10] MXfive, quitting. (Quit: Quit)
[2015-07-12 23:30:01] Rollup, joining. (#selenium)
[2015-07-12 23:34:59] p0deje, quitting. (Quit: p0deje)
[2015-07-12 23:40:17] p0deje, joining. (#selenium)
[2015-07-12 23:51:41] philippp, quitting. (Quit: Page closed)
[2015-07-12 23:59:10] p0deje, quitting. (Quit: p0deje)
