[2015-06-27 11:45:48] Ardesco, quitting. (Ping timeout: 244 seconds)
[2015-06-27 12:13:24] gabecase, joining. (#selenium)
[2015-06-27 12:14:46] dimacus, joining. (#selenium)
[2015-06-27 12:17:31] Kyl9, joining. (#selenium)
[2015-06-27 12:25:39] dimacus, quitting. (Quit: Leaving.)
[2015-06-27 12:28:49] pte_petey, joining. (#selenium)
[2015-06-27 12:29:55] gabecase, quitting. (Remote host closed the connection)
[2015-06-27 12:31:18] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 12:34:45] rorycb, joining. (#selenium)
[2015-06-27 12:39:01] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-06-27 12:52:04] Kyl9, joining. (#selenium)
[2015-06-27 12:53:38] gabecase, joining. (#selenium)
[2015-06-27 13:00:46] gabecase, quitting. (Remote host closed the connection)
[2015-06-27 13:11:26] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 13:19:04] pte_petey, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2015-06-27 13:20:57] trcjr_, quitting. (Read error: Connection reset by peer)
[2015-06-27 13:21:37] trcjr-, joining. (#selenium)
[2015-06-27 13:24:24] Kyl9, joining. (#selenium)
[2015-06-27 13:38:12] p0deje, quitting. (Quit: p0deje)
[2015-06-27 13:41:20] p0deje, joining. (#selenium)
[2015-06-27 13:45:00] marmotworks, quitting. (Ping timeout: 276 seconds)
[2015-06-27 13:50:27] errant_rider, joining. (#selenium)
[2015-06-27 13:51:00] dude-x__, quitting. (Ping timeout: 255 seconds)
[2015-06-27 13:52:44] l3dx, joining. (#selenium)
[2015-06-27 13:56:51] dude-x_, joining. (#selenium)
[2015-06-27 13:58:35] aaronhumerickhou, joining. (#selenium)
[2015-06-27 14:05:32] Alchemy, quitting. (Ping timeout: 256 seconds)
[2015-06-27 14:11:25] Kyl9, quitting. (Remote host closed the connection)
[2015-06-27 14:12:33] pericles, joining. (#selenium)
[2015-06-27 14:36:17] rorycb, joining. (#selenium)
[2015-06-27 14:40:51] rorycb, quitting. (Ping timeout: 250 seconds)
[2015-06-27 14:41:44] marmotworks, joining. (#selenium)
[2015-06-27 14:48:35] merike, changing nick to merike|away.
[2015-06-27 14:51:24] p0deje_, joining. (#selenium)
[2015-06-27 14:52:33] p0deje, quitting. (Ping timeout: 250 seconds)
[2015-06-27 14:52:33] p0deje_, changing nick to p0deje.
[2015-06-27 15:40:27] aaronhumerickhou, quitting. (Remote host closed the connection)
[2015-06-27 15:54:52] sevaseva, joining. (#selenium)
[2015-06-27 15:59:39] Alchemy, joining. (#selenium)
[2015-06-27 16:37:54] rorycb, joining. (#selenium)
[2015-06-27 16:42:17] rorycb, quitting. (Ping timeout: 246 seconds)
[2015-06-27 16:49:35] admc, joining. (#selenium)
[2015-06-27 17:00:08] farlan, quitting. (Quit: Leaving.)
[2015-06-27 17:05:33] sevaseva, quitting. (Quit: Leaving)
[2015-06-27 17:14:54] smccarthy, joining. (#selenium)
[2015-06-27 17:16:10] juggle, quitting. (Quit: Leaving)
[2015-06-27 17:20:44] admc, quitting. (Quit: Leaving.)
[2015-06-27 17:22:35] p0deje, quitting. (Quit: p0deje)
[2015-06-27 17:27:20] Alchemy, quitting. (Ping timeout: 244 seconds)
[2015-06-27 17:33:35] admc, joining. (#selenium)
[2015-06-27 17:46:10] davehunt, joining. (#selenium)
[2015-06-27 17:49:11] davehunt, quitting. (Remote host closed the connection)
[2015-06-27 17:59:52] tony2, joining. (#selenium)
[2015-06-27 18:00:00] l3dx, quitting. (Quit: Connection closed for inactivity)
[2015-06-27 18:00:54] tony2, quitting. (Client Quit)
[2015-06-27 18:01:08] tony2, joining. (#selenium)
[2015-06-27 18:02:20] tony2, quitting. (Client Quit)
[2015-06-27 18:20:19] admc, quitting. (Quit: Leaving.)
[2015-06-27 18:22:04] trcjr-, quitting. (Ping timeout: 272 seconds)
[2015-06-27 18:23:10] trcjr_, joining. (#selenium)
[2015-06-27 18:24:44] errant_rider, quitting. (Quit: Leaving.)
[2015-06-27 18:25:02] errant_rider, joining. (#selenium)
[2015-06-27 18:37:45] trcjr_, quitting. (Ping timeout: 246 seconds)
[2015-06-27 18:39:19] rorycb, joining. (#selenium)
[2015-06-27 18:41:11] trcjr_, joining. (#selenium)
[2015-06-27 18:43:48] rorycb, quitting. (Ping timeout: 248 seconds)
[2015-06-27 19:02:31] farlan, joining. (#selenium)
[2015-06-27 19:52:09] smccarthy, quitting. (Ping timeout: 252 seconds)
[2015-06-27 20:08:02] errant_rider, quitting. (Quit: Leaving.)
[2015-06-27 20:30:43] pericles, quitting. ()
[2015-06-27 20:32:14] peret, joining. (#selenium)
[2015-06-27 20:34:45] smccarthy, joining. (#selenium)
[2015-06-27 20:40:44] rorycb, joining. (#selenium)
[2015-06-27 20:44:57] rorycb, quitting. (Ping timeout: 252 seconds)
[2015-06-27 21:03:23] Padawan, quitting. (Disconnected by services)
[2015-06-27 21:03:31] Padawan_, joining. (#selenium)
[2015-06-27 21:18:03] dude-x, joining. (#selenium)
[2015-06-27 21:18:33] dude-x, quitting. (Remote host closed the connection)
[2015-06-27 21:19:12] dude-x, joining. (#selenium)
[2015-06-27 21:22:47] torlanco, joining. (#selenium)
[2015-06-27 21:23:06] torlanco: hello
[2015-06-27 21:23:12] torlanco: any of you use webdriver.io?
[2015-06-27 21:24:07] torlanco: im having trouble switching windows
[2015-06-27 21:35:42] torlanco: client
[2015-06-27 21:35:42] torlanco:   .remote(options)
[2015-06-27 21:35:44] torlanco:   .init()
[2015-06-27 21:35:46] torlanco:   .url('http://localhost:8888/test_site/')
[2015-06-27 21:35:48] torlanco:   .elements('a')
[2015-06-27 21:35:50] torlanco:   .then(function (elements) {
[2015-06-27 21:35:52] torlanco:     var self = this;
[2015-06-27 21:35:54] torlanco:     var promises = [];
[2015-06-27 21:35:56] torlanco:     elements.value.forEach(function (element) {
[2015-06-27 21:35:58] torlanco:       var id = element.ELEMENT;
[2015-06-27 21:36:00] torlanco:       promises.push(
[2015-06-27 21:36:02] torlanco:         self
[2015-06-27 21:36:04] torlanco:           .elementIdClick(id)
[2015-06-27 21:36:06] torlanco:           .windowHandles(function(err, result) {
[2015-06-27 21:36:08] torlanco:             return result.value[result.value.length - 1];
[2015-06-27 21:36:10] torlanco:           })
[2015-06-27 21:36:12] torlanco:           .switchTab()
[2015-06-27 21:36:14] torlanco:           .saveScreenshot(++i + 'screenshot.png')
[2015-06-27 21:36:16] torlanco:           // .pause(4000)
[2015-06-27 21:36:18] torlanco:           .close()
[2015-06-27 21:36:20] torlanco:         )
[2015-06-27 21:36:22] torlanco:     });
[2015-06-27 21:36:24] torlanco:     return Q.all(promises);
[2015-06-27 21:36:26] torlanco:   })
[2015-06-27 21:36:28] torlanco:   .then(function (inputValues) {
[2015-06-27 21:36:30] torlanco:     console.log(inputValues);
[2015-06-27 21:36:32] torlanco:   })
[2015-06-27 21:36:34] torlanco:   .pause(50000)
[2015-06-27 21:36:36] torlanco:   .end()
[2015-06-27 21:36:38] torlanco:   .finally(function () {
[2015-06-27 21:36:40] torlanco:       console.log('Client ended');
[2015-06-27 21:36:42] torlanco:   });
[2015-06-27 22:05:41] peret, quitting. ()
[2015-06-27 22:11:17] dude-x, quitting. (Remote host closed the connection)
[2015-06-27 22:14:12] smccarthy: torlanco: please don't spam that here. Use a :gist
[2015-06-27 22:14:45] smccarthy, quitting. (Quit: Leaving...)
[2015-06-27 22:15:15] torlanco: yes, Im very soory, here is the gist https://gist.github.com/torlanco/ad2d6c3b37a8d107123b
[2015-06-27 22:42:41] rorycb, joining. (#selenium)
[2015-06-27 22:44:19] SeaOrifice, joining. (#selenium)
[2015-06-27 22:47:19] rorycb, quitting. (Ping timeout: 256 seconds)
[2015-06-27 22:55:45] Padawan_, quitting. (Ping timeout: 246 seconds)
[2015-06-27 22:59:11] Padawan_, joining. (#selenium)
[2015-06-27 23:13:23] SeaOrifice, quitting. (Ping timeout: 256 seconds)
[2015-06-27 23:20:12] SeaOrifice, joining. (#selenium)
[2015-06-27 23:38:26] torlanco, quitting. (Remote host closed the connection)
[2015-06-27 23:44:22] torlanco, joining. (#selenium)
[2015-06-27 23:50:10] torlanco_, joining. (#selenium)
[2015-06-27 23:50:12] torlanco, quitting. (Read error: Connection reset by peer)
