[2015-06-20 13:21:52] sahazel, quitting. (*.net *.split)
[2015-06-20 13:21:53] akafred, quitting. (*.net *.split)
[2015-06-20 13:21:53] DocD2, quitting. (*.net *.split)
[2015-06-20 13:21:53] retornam, quitting. (*.net *.split)
[2015-06-20 13:21:53] Brando753, quitting. (*.net *.split)
[2015-06-20 13:21:53] other_qiau, quitting. (*.net *.split)
[2015-06-20 13:21:53] sfr^, quitting. (*.net *.split)
[2015-06-20 13:21:54] mushroomed, quitting. (*.net *.split)
[2015-06-20 13:21:54] tr_h, quitting. (*.net *.split)
[2015-06-20 13:21:54] nikgod, quitting. (*.net *.split)
[2015-06-20 13:21:54] vjrantal, quitting. (*.net *.split)
[2015-06-20 13:21:54] javawizard, quitting. (*.net *.split)
[2015-06-20 13:21:55] moo-_-, quitting. (*.net *.split)
[2015-06-20 13:21:55] DonVitoCorleone, quitting. (*.net *.split)
[2015-06-20 13:21:55] retornam_, changing nick to retornam.
[2015-06-20 13:21:56] Brando753-o_O_o, changing nick to Brando753.
[2015-06-20 13:22:07] trauty_, changing nick to trauty.
[2015-06-20 13:22:16] mushroomed_, joining. (#selenium)
[2015-06-20 13:22:17] tourdedave_, changing nick to tourdedave.
[2015-06-20 13:22:19] zeljkof-away_, changing nick to zeljkof-away.
[2015-06-20 13:24:25] tr_h, joining. (#selenium)
[2015-06-20 13:24:49] akafred_, changing nick to akafred.
[2015-06-20 13:25:26] psftw_, changing nick to psftw.
[2015-06-20 13:26:33] garndt_, changing nick to garndt.
[2015-06-20 13:27:29] melter, joining. (#selenium)
[2015-06-20 13:28:16] bbarke, joining. (#selenium)
[2015-06-20 13:29:06] Zumer_, joining. (#selenium)
[2015-06-20 13:29:32] ato_, joining. (#selenium)
[2015-06-20 13:33:00] tjt263, joining. (#selenium)
[2015-06-20 13:35:11] mtscout6_, joining. (#selenium)
[2015-06-20 13:35:12] sfr^, joining. (#selenium)
[2015-06-20 13:35:21] nikgod, joining. (#selenium)
[2015-06-20 13:35:24] Xceed-, joining. (#selenium)
[2015-06-20 13:36:50] tr_h, quitting. (*.net *.split)
[2015-06-20 13:36:50] mushroomed_, quitting. (*.net *.split)
[2015-06-20 13:36:50] nikgod_, quitting. (*.net *.split)
[2015-06-20 13:36:50] sfr^^, quitting. (*.net *.split)
[2015-06-20 13:36:50] trauty, quitting. (*.net *.split)
[2015-06-20 13:36:50] Zumer, quitting. (*.net *.split)
[2015-06-20 13:36:51] aguynamedben, quitting. (*.net *.split)
[2015-06-20 13:36:51] maxorator, quitting. (*.net *.split)
[2015-06-20 13:36:51] ato, quitting. (*.net *.split)
[2015-06-20 13:36:51] staj, quitting. (*.net *.split)
[2015-06-20 13:36:51] mtscout6, quitting. (*.net *.split)
[2015-06-20 13:36:52] nicegraham______, quitting. (*.net *.split)
[2015-06-20 13:36:52] Xceed, quitting. (*.net *.split)
[2015-06-20 13:36:52] jgornick, quitting. (*.net *.split)
[2015-06-20 13:36:52] matt-b, quitting. (*.net *.split)
[2015-06-20 13:36:52] Xceed-, changing nick to Xceed.
[2015-06-20 13:37:00] ato_, changing nick to ato.
[2015-06-20 13:38:08] tjt263, quitting. (Ping timeout: 276 seconds)
[2015-06-20 13:42:10] DocD2, joining. (#selenium)
[2015-06-20 13:42:45] Sithy, joining. (#selenium)
[2015-06-20 13:43:54] Sithy, changing nick to Sithyrraa.
[2015-06-20 13:44:45] Sithyrraa, leaving. (#selenium)
[2015-06-20 13:44:58] sahazel, joining. (#selenium)
[2015-06-20 13:45:03] eghm_, joining. (#selenium)
[2015-06-20 13:45:20] Sithyrra, joining. (#selenium)
[2015-06-20 13:45:27] maxorator, joining. (#selenium)
[2015-06-20 13:45:27] jgornick, joining. (#selenium)
[2015-06-20 13:45:27] moo-_-, joining. (#selenium)
