[2013-07-06 18:06:58] plightbo_work, joining. (#selenium)
[2013-07-06 18:06:58] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 18:08:11] mreedell-work, joining. (#selenium)
[2013-07-06 18:15:30] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-07-06 18:19:03] ShawnM, joining. (#selenium)
[2013-07-06 18:19:32] mreedell-work, joining. (#selenium)
[2013-07-06 18:20:23] smccarthy, joining. (#selenium)
[2013-07-06 18:30:08] hirani, leaving. (#selenium)
[2013-07-06 18:40:14] davidlai, quitting. (Quit: Leaving.)
[2013-07-06 18:49:15] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-07-06 18:51:56] tourdedave, quitting. (Ping timeout: 276 seconds)
[2013-07-06 19:13:53] plightbo_work, quitting. (Remote host closed the connection)
[2013-07-06 19:14:28] plightbo_work, joining. (#selenium)
[2013-07-06 19:15:46] xinke2411, joining. (#selenium)
[2013-07-06 19:17:19] plightbo_work, quitting. (Read error: Operation timed out)
[2013-07-06 19:25:00] jleyba, joining. (#selenium)
[2013-07-06 19:25:01] selbot2__: jleyba: note from barancev about 16 hours ago: manually stacktrace_test passes for me on opera 12 in saucelabs. I don't know why it fails when CI runs the test
[2013-07-06 19:26:18] brockfredin, joining. (#selenium)
[2013-07-06 19:27:18] jlipps, quitting. (Quit: Leaving.)
[2013-07-06 19:27:20] Turzai, joining. (#selenium)
[2013-07-06 19:34:39] xinke2411, quitting. (Read error: Connection reset by peer)
[2013-07-06 19:35:04] xinke2411, joining. (#selenium)
[2013-07-06 19:37:42] SamuraiJack, joining. (#selenium)
[2013-07-06 19:47:24] SamuraiJack, quitting. (Quit: Konversation terminated!)
[2013-07-06 19:58:34] brockfredin, quitting. (Ping timeout: 256 seconds)
[2013-07-06 20:00:56] Dude-X, quitting. (Quit: Dude-X)
[2013-07-06 20:02:04] plightbo_work, joining. (#selenium)
[2013-07-06 20:02:47] plightb__, joining. (#selenium)
[2013-07-06 20:02:47] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 20:03:29] plightbo_work, joining. (#selenium)
[2013-07-06 20:03:29] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 20:04:17] plightb__, joining. (#selenium)
[2013-07-06 20:04:17] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 20:04:53] plightbo_work, joining. (#selenium)
[2013-07-06 20:04:53] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 20:05:35] plightb__, joining. (#selenium)
[2013-07-06 20:05:35] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 20:06:17] plightbo_work, joining. (#selenium)
[2013-07-06 20:06:18] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 20:06:53] ShawnM, quitting. (Remote host closed the connection)
[2013-07-06 20:06:53] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 20:06:59] plightb__, joining. (#selenium)
[2013-07-06 20:11:53] plightb__, quitting. (Ping timeout: 276 seconds)
[2013-07-06 20:53:39] jleyba, quitting. (Quit: jleyba)
[2013-07-06 21:07:33] plightbo_work, joining. (#selenium)
[2013-07-06 21:08:16] plightb__, joining. (#selenium)
[2013-07-06 21:08:16] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 21:08:59] plightbo_work, joining. (#selenium)
[2013-07-06 21:08:59] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 21:09:41] plightb__, joining. (#selenium)
[2013-07-06 21:09:41] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 21:10:23] plightbo_work, joining. (#selenium)
[2013-07-06 21:10:23] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 21:10:34] brettporter, quitting. (Quit: brettporter)
[2013-07-06 21:15:04] plightbo_work, quitting. (Ping timeout: 256 seconds)
[2013-07-06 21:20:32] Turzai, quitting. (Ping timeout: 248 seconds)
[2013-07-06 21:28:22] xinke2411, quitting. (Ping timeout: 256 seconds)
[2013-07-06 21:33:12] xinke2411, joining. (#selenium)
[2013-07-06 21:33:29] SamuraiJack, joining. (#selenium)
[2013-07-06 21:37:51] ShawnM, joining. (#selenium)
[2013-07-06 21:45:04] ShawnM, quitting. (Ping timeout: 252 seconds)
[2013-07-06 21:45:56] jleyba, joining. (#selenium)
