[2015-05-23 18:33:25] marmotworks, quitting. (Ping timeout: 272 seconds)
[2015-05-23 18:35:13] Doug_Twyman, joining. (#selenium)
[2015-05-23 18:36:49] fabrice31, joining. (#selenium)
[2015-05-23 18:37:19] smccarthy, joining. (#selenium)
[2015-05-23 18:38:40] alko, quitting. (Ping timeout: 240 seconds)
[2015-05-23 18:41:41] fabrice31, quitting. (Ping timeout: 265 seconds)
[2015-05-23 18:44:09] b_rare, joining. (#selenium)
[2015-05-23 18:45:15] b_rare, quitting. (Client Quit)
[2015-05-23 18:45:32] b_rare, joining. (#selenium)
[2015-05-23 19:05:05] Doug_Twyman, leaving. (#selenium)
[2015-05-23 19:05:26] b_rare, quitting. (Quit: leaving)
[2015-05-23 19:05:35] b_rare, joining. (#selenium)
[2015-05-23 19:05:38] b_rare, quitting. (Client Quit)
[2015-05-23 19:05:47] b_rare, joining. (#selenium)
[2015-05-23 19:11:04] mekhami, joining. (#selenium)
[2015-05-23 19:15:28] mekhami, quitting. (Ping timeout: 240 seconds)
[2015-05-23 19:47:36] smccarthy, quitting. (Remote host closed the connection)
[2015-05-23 20:03:48] alko, joining. (#selenium)
[2015-05-23 20:06:04] Doug_Twyman, joining. (#selenium)
[2015-05-23 20:14:57] rorycb, joining. (#selenium)
[2015-05-23 20:17:06] b_rare, quitting. (Quit: leaving)
[2015-05-23 20:17:30] b_rare, joining. (#selenium)
[2015-05-23 20:19:22] rorycb, quitting. (Ping timeout: 256 seconds)
[2015-05-23 20:24:13] b_rare, quitting. (Quit: leaving)
[2015-05-23 20:24:25] bwreher, joining. (#selenium)
[2015-05-23 20:25:38] fabrice31, joining. (#selenium)
[2015-05-23 20:25:46] bwreher, quitting. (Client Quit)
[2015-05-23 20:25:56] bwreher, joining. (#selenium)
[2015-05-23 20:27:01] bwreher, quitting. (Client Quit)
[2015-05-23 20:27:56] bwreher, joining. (#selenium)
[2015-05-23 20:28:08] bwreher, quitting. (Client Quit)
[2015-05-23 20:30:06] fabrice31, quitting. (Ping timeout: 246 seconds)
[2015-05-23 20:30:08] b_rare, joining. (#selenium)
[2015-05-23 20:31:33] b_rare, quitting. (Client Quit)
[2015-05-23 20:31:44] b_rare, joining. (#selenium)
[2015-05-23 20:32:15] alko, quitting. (Ping timeout: 256 seconds)
[2015-05-23 20:37:07] Doug_Twyman, leaving. (#selenium)
[2015-05-23 20:43:13] dimacus, quitting. (Quit: Leaving.)
[2015-05-23 20:49:13] aCodinMa_, joining. (#selenium)
[2015-05-23 20:53:02] aCodinMan, quitting. (Ping timeout: 255 seconds)
[2015-05-23 20:53:56] aCodinMa_, quitting. (Ping timeout: 255 seconds)
[2015-05-23 21:40:29] sbos99, joining. (#selenium)
[2015-05-23 21:43:00] smccarthy, joining. (#selenium)
[2015-05-23 21:52:01] kggr, joining. (#selenium)
[2015-05-23 21:57:14] dude-x, quitting. (Remote host closed the connection)
[2015-05-23 21:59:55] aCodinMan, joining. (#selenium)
[2015-05-23 22:03:47] Cache_Money, joining. (#selenium)
[2015-05-23 22:06:38] aCodinMan, quitting. (Ping timeout: 265 seconds)
[2015-05-23 22:14:32] fabrice31, joining. (#selenium)
[2015-05-23 22:19:04] fabrice31, quitting. (Ping timeout: 250 seconds)
[2015-05-23 22:23:05] Cache_Money, quitting. (Quit: Cache_Money)
[2015-05-23 22:30:14] kggr, quitting. (Ping timeout: 255 seconds)
