[2015-04-18 16:27:38] vilmos, quitting. (Ping timeout: 250 seconds)
[2015-04-18 16:55:28] dgempesaw, joining. (#selenium)
[2015-04-18 16:56:00] nirvdrum, joining. (#selenium)
[2015-04-18 16:58:19] Sourcerer, quitting. ()
[2015-04-18 17:07:33] kdwa, quitting. (Remote host closed the connection)
[2015-04-18 17:08:09] kdwa, joining. (#selenium)
[2015-04-18 17:10:49] Mixologic, joining. (#selenium)
[2015-04-18 17:11:21] Mixologic_, quitting. (Ping timeout: 248 seconds)
[2015-04-18 17:13:06] kdwa, quitting. (Ping timeout: 272 seconds)
[2015-04-18 17:13:13] smccarthy, joining. (#selenium)
[2015-04-18 17:16:16] dgempesaw, quitting. (Ping timeout: 264 seconds)
[2015-04-18 17:36:36] Sinless, joining. (#selenium)
[2015-04-18 17:37:02] Sinless: I'm having trouble with my JavaScript webdriver - it only seems to open firefox now, rather than navigating to a page
[2015-04-18 17:55:36] Sinless: when I try to do the same thing in C# it works fine
[2015-04-18 18:00:46] fatguylaughing, joining. (#selenium)
[2015-04-18 18:05:22] fatguylaughing, quitting. (Ping timeout: 265 seconds)
[2015-04-18 18:13:41] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-04-18 19:16:03] vilmos, joining. (#selenium)
[2015-04-18 19:22:13] oida, quitting. (Ping timeout: 265 seconds)
[2015-04-18 19:25:18] oida, joining. (#selenium)
[2015-04-18 19:29:17] nirvdrum, quitting. (Ping timeout: 246 seconds)
[2015-04-18 19:35:35] alien_, quitting. (Ping timeout: 246 seconds)
[2015-04-18 19:36:04] Guest81724, quitting. (Quit: Leaving.)
[2015-04-18 19:48:35] kdwa, joining. (#selenium)
[2015-04-18 19:52:13] leandroal, joining. (#selenium)
[2015-04-18 19:53:30] swampdragons, joining. (#selenium)
[2015-04-18 19:55:27] ng-_-k, joining. (#selenium)
[2015-04-18 19:57:59] swampdragons, quitting. (Ping timeout: 265 seconds)
[2015-04-18 19:58:13] smccarthy, quitting. (Remote host closed the connection)
[2015-04-18 19:58:46] smccarthy, joining. (#selenium)
[2015-04-18 19:59:17] ng-_-k, changing nick to tonkotsu.
[2015-04-18 20:02:54] leandroal_, joining. (#selenium)
[2015-04-18 20:06:10] leandroal, quitting. (Ping timeout: 264 seconds)
[2015-04-18 20:21:14] smccarthy, quitting. (Quit: Leaving...)
[2015-04-18 20:33:47] kdwa, quitting. (Remote host closed the connection)
[2015-04-18 20:34:20] kdwa, joining. (#selenium)
[2015-04-18 20:34:37] gabecase, joining. (#selenium)
[2015-04-18 20:38:26] kdwa_, joining. (#selenium)
[2015-04-18 20:39:01] kdwa, quitting. (Ping timeout: 255 seconds)
[2015-04-18 20:47:57] tonkotsu, quitting. (Remote host closed the connection)
[2015-04-18 20:49:23] gabecase, quitting. (Remote host closed the connection)
[2015-04-18 20:52:53] oida, quitting. (Ping timeout: 272 seconds)
[2015-04-18 20:55:20] oida, joining. (#selenium)
[2015-04-18 21:00:23] leandroal__, joining. (#selenium)
[2015-04-18 21:01:45] psftw, quitting. (Ping timeout: 272 seconds)
[2015-04-18 21:02:19] WhereIsMySpoon__, quitting. (Quit: No Ping reply in 180 seconds.)
[2015-04-18 21:03:01] garndt, quitting. (Ping timeout: 272 seconds)
[2015-04-18 21:03:01] DocD2, quitting. (Ping timeout: 272 seconds)
[2015-04-18 21:03:08] mika, quitting. (Ping timeout: 252 seconds)
[2015-04-18 21:03:29] WhereIsMySpoon, joining. (#selenium)
[2015-04-18 21:03:41] leandroal_, quitting. (Ping timeout: 264 seconds)
[2015-04-18 21:03:59] mika, joining. (#selenium)
[2015-04-18 21:04:08] psftw, joining. (#selenium)
[2015-04-18 21:04:51] garndt, joining. (#selenium)
[2015-04-18 21:05:01] DocD2, joining. (#selenium)
[2015-04-18 21:13:57] Selenium-Github: [13selenium] 15jleyba pushed 1 new commit to 06master: 02http://git.io/vvAtR
[2015-04-18 21:13:57] Selenium-Github: 13selenium/06master 1453b0c0f 15Jason Leyba: js: Properly track the top of the stack in the ControlFlow to ensure promise...
[2015-04-18 21:19:53] kggr, joining. (#selenium)
[2015-04-18 21:29:53] Selenium-Github: [13selenium] 15jleyba pushed 1 new commit to 06master: 02http://git.io/vvAms
[2015-04-18 21:29:53] Selenium-Github: 13selenium/06master 143e1ef01 15Jason Leyba: js: shorten URL in documentation to silence linter about a long line.
