[2013-09-01 18:12:35] Oscar_Rieken_at_, changing nick to Oscar_Rieken_.
[2013-09-01 18:19:36] markalanevans, quitting. (Quit: markalanevans)
[2013-09-01 18:26:50] tourdedave, joining. (#selenium)
[2013-09-01 18:28:27] coreyg, quitting. (Quit: coreyg)
[2013-09-01 18:29:22] admc, joining. (#selenium)
[2013-09-01 18:30:53] DanC__, joining. (#selenium)
[2013-09-01 18:38:27] admc, quitting. (Ping timeout: 260 seconds)
[2013-09-01 18:53:06] tourdedave, quitting. (Quit: My MacBook has gone to sleep. ZZZzzz…)
[2013-09-01 18:59:10] richdownie, joining. (#selenium)
[2013-09-01 18:59:36] richdownie, quitting. (Client Quit)
[2013-09-01 19:00:37] richdownie, joining. (#selenium)
[2013-09-01 19:16:05] smccarthy, joining. (#selenium)
[2013-09-01 19:25:16] mansi, quitting. (Remote host closed the connection)
[2013-09-01 19:25:48] mansi, joining. (#selenium)
[2013-09-01 19:27:43] richdownie, quitting. (Quit: richdownie)
[2013-09-01 19:28:55] richdownie, joining. (#selenium)
[2013-09-01 19:29:51] admc, joining. (#selenium)
[2013-09-01 19:30:32] mansi, quitting. (Ping timeout: 256 seconds)
[2013-09-01 19:33:25] richdownie, quitting. (Client Quit)
[2013-09-01 19:34:10] admc, quitting. (Ping timeout: 245 seconds)
[2013-09-01 19:36:36] richdownie, joining. (#selenium)
[2013-09-01 19:38:51] richdownie, quitting. (Client Quit)
[2013-09-01 19:40:54] richdownie, joining. (#selenium)
[2013-09-01 19:42:47] richdownie, quitting. (Client Quit)
[2013-09-01 19:52:42] testingb0t, joining. (#selenium)
[2013-09-01 20:00:10] admc, joining. (#selenium)
[2013-09-01 20:02:47] testingb0t, quitting. (Quit: Leaving.)
[2013-09-01 20:04:18] admc, quitting. (Ping timeout: 245 seconds)
[2013-09-01 20:10:52] richdownie, joining. (#selenium)
[2013-09-01 20:14:47] richdownie, quitting. (Client Quit)
[2013-09-01 20:19:07] admc, joining. (#selenium)
[2013-09-01 20:20:14] mansi, joining. (#selenium)
[2013-09-01 20:30:23] admc, quitting. (Quit: Leaving.)
[2013-09-01 21:20:09] SparkySparkyBoom, quitting. (Ping timeout: 240 seconds)
[2013-09-01 21:31:17] smccarthy, quitting. (Remote host closed the connection)
[2013-09-01 21:45:33] SparkySparkyBoom, joining. (#selenium)
[2013-09-01 21:47:19] brokenthumbs, joining. (#selenium)
[2013-09-01 22:01:34] admc, joining. (#selenium)
[2013-09-01 22:05:51] admc, quitting. (Ping timeout: 245 seconds)
[2013-09-01 22:10:30] girija, joining. (#selenium)
[2013-09-01 22:24:12] brokenthumbs, quitting. (Quit: Leaving.)
[2013-09-01 22:31:05] mansi, quitting. (Remote host closed the connection)
[2013-09-01 22:31:39] mansi, joining. (#selenium)
[2013-09-01 22:36:06] mansi, quitting. (Ping timeout: 264 seconds)
[2013-09-01 22:41:02] kallisti, quitting. (Read error: Connection reset by peer)
[2013-09-01 22:46:55] kallisti, joining. (#selenium)
[2013-09-01 22:47:09] kallisti: ah it looks like the 3xx response isn't used anymore to set session ID
[2013-09-01 23:23:06] sburjan, joining. (#selenium)
[2013-09-01 23:24:42] zalivakp, joining. (#selenium)
[2013-09-01 23:28:25] rananda, joining. (#selenium)
[2013-09-01 23:30:12] ddary, joining. (#selenium)
[2013-09-01 23:37:05] moo-_-, quitting. (Ping timeout: 245 seconds)
[2013-09-01 23:41:38] moo-_-, joining. (#selenium)
