[2015-02-15 18:35:23] fabrice31, quitting. (Ping timeout: 252 seconds)
[2015-02-15 18:39:51] farlan1, joining. (#selenium)
[2015-02-15 18:39:51] farlan, quitting. (Read error: Connection reset by peer)
[2015-02-15 18:41:41] dimacus, quitting. (Quit: Leaving.)
[2015-02-15 18:43:03] ferguso, joining. (#selenium)
[2015-02-15 18:47:29] ferguso, quitting. (Ping timeout: 252 seconds)
[2015-02-15 19:30:07] ferguso, joining. (#selenium)
[2015-02-15 20:19:58] fabrice31, joining. (#selenium)
[2015-02-15 20:24:25] fabrice31, quitting. (Ping timeout: 245 seconds)
[2015-02-15 20:25:39] ferguso, quitting. (Remote host closed the connection)
[2015-02-15 20:34:53] ferguso, joining. (#selenium)
[2015-02-15 20:46:46] smccarthy, quitting. (Remote host closed the connection)
[2015-02-15 20:47:29] ferguso, quitting. (Remote host closed the connection)
[2015-02-15 21:05:00] FMJaggy, quitting. (Ping timeout: 244 seconds)
[2015-02-15 21:05:58] FMJaggy, joining. (#selenium)
[2015-02-15 21:12:19] FMJaggy, quitting. (Max SendQ exceeded)
[2015-02-15 21:12:55] FMJaggy, joining. (#selenium)
[2015-02-15 21:18:17] fatguylaughing, joining. (#selenium)
[2015-02-15 21:20:51] FMJaggy, quitting. (Max SendQ exceeded)
[2015-02-15 21:23:10] FMJaggy, joining. (#selenium)
[2015-02-15 21:42:40] SitamJana, joining. (#selenium)
[2015-02-15 21:48:50] rananda, joining. (#selenium)
[2015-02-15 22:08:38] fabrice31, joining. (#selenium)
[2015-02-15 22:13:12] fabrice31, quitting. (Ping timeout: 252 seconds)
[2015-02-15 22:52:59] rananda, quitting. (Ping timeout: 244 seconds)
[2015-02-15 22:55:32] fatguylaughing, quitting. (Quit: fatguylaughing)
[2015-02-15 22:56:16] fatguylaughing, joining. (#selenium)
[2015-02-15 22:57:10] rananda, joining. (#selenium)
[2015-02-15 23:05:16] fatguylaughing, quitting. (Ping timeout: 245 seconds)
[2015-02-15 23:11:06] jkrocil, joining. (#selenium)
[2015-02-15 23:24:26] merike|away, quitting. (Ping timeout: 246 seconds)
[2015-02-15 23:25:27] merike|away, joining. (#selenium)
[2015-02-15 23:25:36] merike|away, changing nick to merike.
[2015-02-15 23:36:05] fabrice31, joining. (#selenium)
[2015-02-15 23:41:50] neeti, joining. (#selenium)
[2015-02-15 23:48:25] ferguso, joining. (#selenium)
[2015-02-15 23:51:47] AndreiH, joining. (#selenium)
[2015-02-15 23:52:45] SitamJana, quitting. (Ping timeout: 250 seconds)
[2015-02-15 23:52:46] ferguso, quitting. (Ping timeout: 240 seconds)
[2015-02-15 23:53:26] SitamJana, joining. (#selenium)
