[2015-02-21 07:10:47] tony2, joining. (#selenium)
[2015-02-21 07:14:09] sanrags, joining. (#selenium)
[2015-02-21 07:45:51] p0deje, joining. (#selenium)
[2015-02-21 07:59:25] emperorcezar, joining. (#selenium)
[2015-02-21 08:04:32] vozcelik, joining. (#selenium)
[2015-02-21 08:05:45] fabrice31, joining. (#selenium)
[2015-02-21 08:10:15] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-02-21 08:11:02] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-02-21 08:14:21] vozcelik, quitting. (Ping timeout: 245 seconds)
[2015-02-21 08:20:06] HenriettaSalt, joining. (#selenium)
[2015-02-21 08:32:59] knownasilya, quitting. (Quit: Connection closed for inactivity)
[2015-02-21 08:34:49] sanrags, quitting. (Quit: Leaving)
[2015-02-21 08:40:21] maxorator, joining. (#selenium)
[2015-02-21 09:13:54] emperorcezar, joining. (#selenium)
[2015-02-21 09:14:20] emperorcezar, quitting. (Remote host closed the connection)
[2015-02-21 09:14:57] emperorcezar, joining. (#selenium)
[2015-02-21 09:31:50] merobertsjr, joining. (#selenium)
[2015-02-21 09:34:45] merobertsjr_, joining. (#selenium)
[2015-02-21 09:36:56] merobertsjr, quitting. (Ping timeout: 252 seconds)
[2015-02-21 09:48:21] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-02-21 09:54:45] fabrice31, joining. (#selenium)
[2015-02-21 09:55:08] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-02-21 09:59:18] fabrice31, quitting. (Ping timeout: 252 seconds)
[2015-02-21 10:02:53] Xceed-, joining. (#selenium)
[2015-02-21 10:03:46] Xceed, quitting. (Ping timeout: 250 seconds)
[2015-02-21 10:03:47] Xceed-, changing nick to Xceed.
[2015-02-21 10:10:20] smccarthy, quitting. (Quit: Leaving...)
[2015-02-21 10:12:49] emperorcezar, joining. (#selenium)
[2015-02-21 10:17:03] Sourcerer, joining. (#selenium)
[2015-02-21 10:20:28] emperorcezar, quitting. (Read error: Connection reset by peer)
[2015-02-21 10:20:53] emperorcezar, joining. (#selenium)
[2015-02-21 10:26:53] merobertsjr_, quitting. (Quit: Be back later ...)
[2015-02-21 10:28:27] oriba, joining. (#selenium)
[2015-02-21 10:28:55] HenriettaSalt, joining. (#selenium)
[2015-02-21 10:29:02] Selenium-Git, joining. (#selenium)
[2015-02-21 10:29:03] Selenium-Git: [13selenium] 15selenium-ci pushed 2 new commits to 06master: 02http://git.io/A0eI
[2015-02-21 10:29:03] Selenium-Git: 13selenium/06master 1481e08a0 15Jason Leyba: Add native support for IE to WebDriverJS
[2015-02-21 10:29:03] Selenium-Git: 13selenium/06master 145f5e315 15Jason Leyba: Test updates for PhantomJS 2.0
[2015-02-21 10:29:03] Selenium-Git, leaving. (#selenium)
[2015-02-21 10:30:08] Selenium-Git, joining. (#selenium)
[2015-02-21 10:30:09] Selenium-Git: [13selenium] 15selenium-ci pushed 1 new commit to 06master: 02http://git.io/A0eu
[2015-02-21 10:30:09] Selenium-Git: 13selenium/06master 149179eaa 15Jason Leyba: Delete file that should not have been added in last commit...
[2015-02-21 10:30:09] Selenium-Git, leaving. (#selenium)
[2015-02-21 10:52:39] p0deje, quitting. (Quit: p0deje)
[2015-02-21 10:55:45] fatguylaughing, joining. (#selenium)
[2015-02-21 10:58:25] Sourcerer|2, joining. (#selenium)
[2015-02-21 10:59:02] Sourcerer, quitting. (Ping timeout: 264 seconds)
[2015-02-21 11:03:14] emperorcezar, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-02-21 11:03:50] Sourcerer|2, quitting. (Ping timeout: 264 seconds)
[2015-02-21 11:06:35] smccarthy, joining. (#selenium)
[2015-02-21 11:07:18] Sourcerer, joining. (#selenium)
[2015-02-21 11:12:32] admc, joining. (#selenium)
[2015-02-21 11:26:20] operatiay, joining. (#selenium)
[2015-02-21 11:28:19] operatia_, joining. (#selenium)
[2015-02-21 11:29:58] operati__, joining. (#selenium)
[2015-02-21 11:30:30] operatiay, quitting. (Read error: Connection reset by peer)
[2015-02-21 11:30:45] operatia_, quitting. (Read error: Connection reset by peer)
[2015-02-21 11:33:19] eigenvalue, joining. (#selenium)
[2015-02-21 11:34:36] admc, quitting. (Quit: Leaving.)
[2015-02-21 11:43:18] fabrice31, joining. (#selenium)
[2015-02-21 11:48:07] fabrice31, quitting. (Ping timeout: 245 seconds)
[2015-02-21 11:56:26] operati__, changing nick to operatiay.
[2015-02-21 12:02:46] admc, joining. (#selenium)
[2015-02-21 12:02:58] HenriettaSalt, quitting. (Quit: Zzzzz...)
[2015-02-21 12:18:53] HenriettaSalt, joining. (#selenium)
[2015-02-21 12:19:04] HenriettaSalt, quitting. (Read error: Connection reset by peer)
[2015-02-21 12:19:28] HenriettaSalt, joining. (#selenium)
[2015-02-21 12:28:04] bungiman_, joining. (#selenium)
[2015-02-21 12:31:49] merobertsjr_, joining. (#selenium)
[2015-02-21 12:44:51] oriba, quitting. (Quit: Verlassend)
[2015-02-21 12:54:18] bungiman_, quitting. ()
