[2014-09-15 07:07:27] smccarthy, joining. (#selenium)
[2014-09-15 07:08:44] simonstewart: Mr Lightbody!
[2014-09-15 07:08:46] simonstewart: Hi Patrick!
[2014-09-15 07:10:40] amit_341, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 07:11:46] selbot2__: 04 Open issues: 819
[2014-09-15 07:11:55] amasaamos, joining. (#selenium)
[2014-09-15 07:13:22] AutomatedTester: simonstewart: I had a beer with him on Thursday
[2014-09-15 07:13:42] simonstewart: Wish he’d come to london some time. How was he?
[2014-09-15 07:14:01] AutomatedTester: doing really well
[2014-09-15 07:14:11] AutomatedTester: bald and with a beard... fits right in in PDX
[2014-09-15 07:14:19] simonstewart: Indeed
[2014-09-15 07:15:07] AutomatedTester: I should be back there in december for more beer with him :)
[2014-09-15 07:18:57] fatguylaughing_, joining. (#selenium)
[2014-09-15 07:19:36] AutomatedTester: youngest awake
[2014-09-15 07:19:39] AutomatedTester: bbl
[2014-09-15 07:20:44] farlan, quitting. (Ping timeout: 260 seconds)
[2014-09-15 07:23:10] papegaaij, quitting. (Remote host closed the connection)
[2014-09-15 07:24:19] almostwhitehat, joining. (#selenium)
[2014-09-15 07:25:13] antsanto, joining. (#selenium)
[2014-09-15 07:27:15] talexb, joining. (#selenium)
[2014-09-15 07:27:28] hirani, joining. (#selenium)
[2014-09-15 07:28:06] amit_341, joining. (#selenium)
[2014-09-15 07:28:18] talexb: I am doing some testing that requires me to change base URLs, but Selenium is complaining about this. Is there a solution or workaround for this?
[2014-09-15 07:28:32] billhunt, joining. (#selenium)
[2014-09-15 07:28:48] talexb: ".. you appear to be changing domains .." .. and I'm already using *chrome as my setBrowser value ..
[2014-09-15 07:31:19] WhereIsMySpoon: talexb: are you using selenium RC?
[2014-09-15 07:31:21] WhereIsMySpoon: or webdriver
[2014-09-15 07:31:56] andy_seit2, quitting. (Ping timeout: 260 seconds)
[2014-09-15 07:32:10] andy_seit, joining. (#selenium)
[2014-09-15 07:32:42] talexb: WhereIsMySpoon, Ugh .. not sure? I'm using the standalone server .. does that answer your question?
[2014-09-15 07:32:58] WhereIsMySpoon: talexb: no it doesnt. Are you using the Selenium class or WebDriver class
[2014-09-15 07:33:00] talexb: Running phpunit ona PHP class that contains the test scripts. I'm new to this technology ..
[2014-09-15 07:33:33] talexb: Oh .. it's built on the PHPUnit_Extensions_SeleniumTestCase ..
[2014-09-15 07:33:45] talexb: So, not WebDriver, I think.
[2014-09-15 07:33:49] WhereIsMySpoon: thats why
[2014-09-15 07:34:01] WhereIsMySpoon: you need to use webdriver to be able to switch domains, RC is deprecated and old
[2014-09-15 07:34:01] dude-x__, joining. (#selenium)
